,Summary,Passage,Style
0,"소방청(청장 정문호)은 국립소방연구원과 5개의 공인시험연구기관이 에너지저장장치(ESS, Energy Storage System) 및 대용량 2차전지 화재에 관한 연구를 공동수행한다고 밝혔다. 이는 에너지저장장치의 급격한 보급과 동시에 2017년 5월 이후 현재까지 총 28건의 화재가 발생해서 안전사고와 화재 등에 대비하는 안전기술연구가 필요하다는 공감대가 형성되었다."," 소방청(청장 정문호)은 국립소방연구원과 5개의 공인시험연구기관이 에너지저장장치(ESS, Energy Storage System) 및 대용량 2차전지 화재에 관한 연구를 공동수행한다고 밝혔다.
  이는 에너지저장장치의 급격한 보급과 동시에 2017년 5월 이후 현재까지 총 28건의 화재가 발생해서 안전사고와 화재 등에 대비하는 안전기술연구가 필요하다는 공감대가 형성되었다. 
  이에 한국산업기술시험원, 한국전기안전공사, 한국기계전기전자시험연구원, 한국건설생활환경시험연구원, 한국화학융합시험연구원 등 5개 연구기관은 공동연구를 위한 업무협약을 4월 16일 체결했다. 
 연구는 ESS 및 전기자동차의 안전성 확보를 위한 중대형 2차전지 화재와 전기적 안전성 검증시험이 주된 내용이다. 
  아울러, 각 기관들이 보유한 실험시설을 공유하면서 향후 발생하는 ESS 및 전기자동차 화재조사 및 감식을 함께 진행할 예정이다.
  또한, 이차전지 화재 안전성 검증센터 구축, 정부 R&D사업 협업 및 관련 지원사업 발굴, 화재사고 분석을 위한 인력양성 및 전문교육 등을 상호협력하기로 했다.
 이창섭 국립소방연구원장은 이번 공동연구를 계기로 공인시험연구기관들의 핵심 역량을 결집해 ESS 및 대용량 2차전지 화재안전성 확보 등 실질적인 성과를 거둘 수 있도록 협력해 나가겠다고 말했다.
 한편, 국립소방연구원은 지난해 5월 개원했으며 소방과학과 정책 분야의 R&D를 총괄하면서 화재를 감식조사하고 위험물 성상을 판정하는 소방전문 연구기관이다. 
",Realism
1,〇 화재감정이란 화재와 관련된 물건의 구조성분 등을 과학적인 실험 등을 통해 분석하여 화재원인을 도출할 만한 근거자료를 얻는 것을 말한다. 〇 기본적으로 화재조사는 관할 소방서에서 실시하지만 인력이나 기술력으로 정밀분석이 어려운 경우에는 전문기관인 국립소방연구원(이하 ‘연구원’)에 화재 감정을 의뢰하고 있다.," 국립소방연구원(원장 이창섭)이 2019년 5월 개원하면서 2020년 상반기 화재감정 분석건수가 중앙소방학교 소방과학연구실 시절이던 지난해 같은 기간보다 23.1% 증가한 165건이라고 밝혔다.
 〇 화재감정이란 화재와 관련된 물건의 구조성분 등을 과학적인 실험 등을 통해 분석하여 화재원인을 도출할 만한 근거자료를 얻는 것을 말한다.
 〇 기본적으로 화재조사는 관할 소방서에서 실시하지만 인력이나 기술력으로 정밀분석이 어려운 경우에는 전문기관인 국립소방연구원(이하 ‘연구원’)에 화재 감정을 의뢰하고 있다.
 연구원에는 Xray 투시기, 가스크로마토그래피, 주사형 현미경 등 정밀분석장비와 박사급 인력을 보유하고 있어서 일선 소방관서 보다는 분석역량이 높다.
 〇 올해 상반기 감정업무 수행결과, 화재원인규명률은 지난해 보다 1% 상향된 30.6%였고, 15일 이내 감정을 처리한 비율도 지난해 보다 1% 상향된 59%로 나타났다. 
  〇 감정 물품은 위험물질(45건) > 전기배선(37건) > 생활용품(29건) > 산업장비(15건) > 계절용 기기(10건) 순이며, 주로 불에 소손되어 화재현장에서 발견된 물품이었다.
 주목할 만한 건으로는 리튬이온배터리를 사용하는 제품(16건)과 차량(4건)화재가 있다.
  〇 리튬이온배터리 화재의 경우 배터리의 열폭주가 원인으로 추정되었으며, 주차 중인 차량의 화재는 차량의 ABS모듈 과전류가 원인으로 추정되었다. 앞으로 연구원에서는 새로 개발되는 제품에서 화재요인이 발견될 경우 추가연구를 통해 관련 정보를 제공할 계획이다.
",Realism
2,"소방청(청장 정문호)은 다슬기 채취 활동이 증가하면서 사고도 늘어나고 있으며 6월이 가장 많다고 밝혔다. 연평균 47건으로, 대부분 다슬기 채취가 가능한 5월부터 9월까지 많이 발생했고, 그중 6월이 가장 많아 전체의 34%인 48건이 일어났다."," 소방청(청장 정문호)은 다슬기 채취 활동이 증가하면서 사고도 늘어나고 있으며 6월이 가장 많다고 밝혔다.
 소방청 자료에 따르면 최근 3년간(2017~2019년) 다슬기 채취 관련 수난구조 출동은 142건이었다.
  연평균 47건으로, 대부분 다슬기 채취가 가능한 5월부터 9월까지 많이 발생했고, 그중 6월이 가장 많아 전체의 34%인 48건이 일어났다.
   5월 10건(사망 5), 6월 48건(사망 20), 7월 34건(사망 14), 8월 31건(사망 9),   9월 11건(사망 4)
  연도별로는 2017년에 38건(사망 12명), 2018년 67건(사망 25명), 2019년 37건(사망 15명) 이었다.
  또한, 지역별로는 강원도가 33건으로 가장 많았고, 경남 22건, 충북 21건, 경기 18건, 경북 16건, 전남 10건, 전북 9건 대전충남 6건, 부산 1건 순이었다.
   3년간 142건 중 목숨을 잃은 사고는 37%로 52명이었다. 지역별로는 강원도가 가장 많은 17명, 충북 11명, 경남전북 5명, 경기경북 4명, 전남 3명, 충남 2명, 대전이 1명이었다.
 주요 사고 사례로는
  2019년 6월 14일 강원 홍천군 내촌면에서 A(61세)씨가 잠수장비 착용 후 다슬기 채취 중 실종, 하천 가장자리 그물에 걸려 숨진 채 발견되었고,
  2020년 6월 6일 충북 영동군 삼천면에서 B(74세)씨가 금강 상류에서 다슬기 채취 중 실종, 1시간 만에 실종장소 인근에서 물에 빠진 채 숨져 있는 것을 발견했다.
",Realism
3,〇 2018년 10월에는 정부의 ‘재정분권 추진방안’을 통해 소방직소방공무원 국가직화와 소방인력 충원에 필요한 인건비 지원을 위한 소방안전교부세율 인상 등 재정 지원에 대한 정부안을 확정했다. 이에 따라 소방청행정안전부인사혁신처 등은 소관부처의 하위법령 입법절차를 진행해서 소방공무원임용령 등 29개 대통령령 제개정을 완료하고 2020년 3월 3일 국무회의 의결을 거쳐 3월 10일 공포되었다.,"  〇 지방교부세법 시행령 및 소방안전교부세 교부기준 등에 관한 규칙 개정으로 소방안전교부세 대상사업에 ‘소방인력 운용’을 추가해서 소방안전교부세를 소방공무원 인건비로 사용할 수 있도록 하고 인건비는 충원현황을 기준으로 교부하도록 했다.
 또한, 소방재정지원 및 시도 소방특별회계 설치법 시행령은 소방재정지원 및 시도 소방특별회계 설치법이 2021년 1월 시행되는 점을 감안해서 올해 6월까지 제정할 예정이다.
 그동안 소방 국가직화 추진은 2017년 10월 26일 대통령과 시도지사 간담회를 통해 ‘소방공무원 국가직 전환 추진방안’이 발표되면서 기본적인 방향이 마련되었다.
  〇 2018년 10월에는 정부의 ‘재정분권 추진방안’을 통해 소방직소방공무원 국가직화와 소방인력 충원에 필요한 인건비 지원을 위한 소방안전교부세율 인상 등 재정 지원에 대한 정부안을 확정했다.
  〇 이어 소방공무원 국가직 전환에 필요한 법률은 2019년 6월 25일 국회 행정안전위원회 법안심사소위에서 의결되었으나 여야간의 의견 재조정을 위해 행정안전위원회 안건조정위원회에 상정되어 9월 23일에 여야합의로 의결되었다.
  〇 이후, 법안처리속도에 탄력이 붙으면서 10월 22일에는 국회 행정안전위원회 전체회의, 11월 13일에는 국회 법제사법위원회를 통과했으며, 11월 19일 국회 본회의에서 의결 후 국무회의를 거쳐 2019년 12월 10일 최종 공포했다.
 이에 따라 소방청행정안전부인사혁신처 등은 소관부처의 하위법령 입법절차를 진행해서 소방공무원임용령 등 29개 대통령령 제개정을 완료하고 2020년 3월 3일 국무회의 의결을 거쳐 3월 10일 공포되었다. 
  〇 아울러, 지방자치단체에 두는 소방공무원의 정원에 관한 규정 시행규칙 등 7개의 행정안전부령은 3월 13일 최종공포되었다.
",Realism
4,"소방청(청장 신열우)은 내년 상반기까지 119문화상 문학분야 수상작 12편을 듣는 책(오디오북)으로 제작해 배포한다고 밝혔다. 소방청 조선호 대변인은 앞으로는 소방정책, 재난유형별 국민행동요령 등도 음원 형식으로 제작해 안전정보를 다양한 방법으로 제공해 나가겠다고 밝혔다."," 소방청(청장 신열우)은 내년 상반기까지 119문화상 문학분야 수상작 12편을 듣는 책(오디오북)으로 제작해 배포한다고 밝혔다. 
  듣는 책으로 일을 하거나 이동 중에도 독서를 할 수 있고 특히 시각장애인도 쉽게 소방문화를 접할 수 있기 때문이다.
 우선 시범적으로 제2회 119문화상 공모전에서 금상을 수상한 동화 ‘소방관의 미소’를 듣는 책으로 녹음을 마쳤다.
  소방관의 미소는 1인칭 관찰자 시점의 작품으로 태규라는 소방관 청년이 주인공인 이야기이다. 태규는 약혼자 가족에게 결혼 승낙을 받기 위해 소방관으로서 위험한 일에 나서지 않겠다고 약속하지만 우연히 터널 안에서 발생한 교통사고를 목격하고는 구조에 나서게 된다. 
  시범작품 제작에는 소방공무원 8명이 목소리 재능기부로 참여했으며 등장인물에 따라 배역을 정하고 책을 읽어 내려가는 방식으로 효과음과 배경음악을 삽입하여 7분 정도의 분량으로 완성 예정이다.
 이 듣는 책은 119문화상 누리집, 소셜네트워크 서비스(SNS)에 게시하고 한국시각장애인연합회와 연계해 시각장애인에게도 제공할 계획이다. 
 소방청 조선호 대변인은 앞으로는 소방정책, 재난유형별 국민행동요령 등도 음원 형식으로 제작해 안전정보를 다양한 방법으로 제공해 나가겠다고 밝혔다.
 한편 2019년부터 시행 중인 119문화상은 재난 현장 소방활동, 미래의 소방관, 과거 대형재난 등을 소재로 한 문학미술분야의 창작품으로 이중 문학분야 수상작은 총 34점이 있다. 
",Realism
5,소방청(청장 정문호)은 특수목적으로 배치된 차량 79대를 재난 발생 시 공동활용하는 시스템을 강화하기로 했다고 밝혔다. 특수목적차량이나 지원차량들은 다양한 재난 상황에 대응하기 위해 꼭 필요하지만 일반차량에 비해 사용빈도가 많지 않으므로 모든 소방서에 보유하기보다는 주요 거점별로 배치하고 공동활용하는 것이 효율적이다.," 소방청(청장 정문호)은 특수목적으로 배치된 차량 79대를 재난 발생 시 공동활용하는 시스템을 강화하기로 했다고 밝혔다. 
 특수목적 차량은 전기통신 발전차량, 이동정비차, 위성중계차, 배수차 등 35대의 차량이 전국 시도에서 운영 중이며 통신난청지역, 붕괴사고, 홍수, 전기 미공급지역 등에서 주로 활동한다.
   발전 4, 이동정비 11, 위성중계 9, 배수 11
 아울러, 매몰사고 발생 시 잔해물제거 등에 활용하는 굴삭기 29대, 중량물 이동 및 지지에 쓰이는 지게차 2대와 크레인 3대 등 중장비 34대도 운영하고 있다. 
 그 밖에 현장활동을 지원하는 급식차, 회복차, 견인차도 총 10대가 있다. 
   급식차 5, 회복차 1, 견인차 4
 특수목적차량이나 지원차량들은 다양한 재난 상황에 대응하기 위해 꼭 필요하지만 일반차량에 비해 사용빈도가 많지 않으므로 모든 소방서에 보유하기보다는 주요 거점별로 배치하고 공동활용하는 것이 효율적이다.
 이에 각 시도에 배치된 특수목적차는 관할 지역과 상관없이 필요한 모든 지역에 출동하고 있다. 
 이번 코로나19 사태에도 부산, 울산, 충남 등에서 운용 중인 화생방제독차 6대를 비롯해 급식차 1대를 대구로 보내 방역활동 등을 지원했다. 
 다만, 소방청은 즉각적인 출동지령에 따라 출동하는 소방차, 구조차, 구급차와는 달리 상황을 보면서 보내는 경우가 많아 지원이 늦어질 수 있는 문제점도 있다고 분석했다. 이에 앞으로는 체계적인 동원시스템을 구축하여 선제적 판단으로 현장에 즉시 투입될 수 있도록 하겠다고 했다. 
  전국 소방력 동원 및 운영 관리에 관한 규정제정 (2020년 하반기)
 한편, 소방청은 장시간 현장활동 시에 피로도가 높아지는 현장 소방대원들이 잠시 휴식할 수 있는 회복차 4대를 추가 도입해서 중앙119구조본부에 연말까지 순차적으로 배치할 예정이다. 
  (동원가능) 총 79대(현장지원차 45대, 중장비 34대)
  (도입예정) 중앙119구조본부 회복차 4대(버스형 2, 트레일러형 2)
   (’20. 4월) 버스형 1대(수도권), 트레일러형 2대(영남대/호남대) / (’20.12월) 버스형 1대(충강대)
(’20.3.24. 기준)
",Realism
6,소방청(청장 정문호)은 코로나19 위기경보단계가‘경계’단계로 상향된 지난 1월 27일부터 가동한‘코로나19 위기대응지원본부’100일간(1.27~5.5)의 활동을 발표했다. 1월 20일 국내에서 코로나19 첫 환자가 발생하고 1월 27일 위기경보단계가 ‘경계’ 단계로 격상되면서 소방청은 차장을 본부장으로 하는 위기대응지원본부를 24시간 운영체체로 가동하기 시작했다.," 소방청(청장 정문호)은 코로나19 위기경보단계가‘경계’단계로 상향된 지난 1월 27일부터 가동한‘코로나19 위기대응지원본부’100일간(1.27~5.5)의 활동을 발표했다.
 위기경보단계가 관심주의 단계이던 1월 3일부터 26일까지는 국내 유입을 대비해 전국 시도 본부에 의심 증상(기침, 발열, 인후두부종 등) 환자이송 시 보호장비를 철저히 착용해서 감염방지에 철저를 기하도록 긴급 이행사항을 전파했다.
 1월 20일 국내에서 코로나19 첫 환자가 발생하고 1월 27일 위기경보단계가 ‘경계’ 단계로 격상되면서 소방청은 차장을 본부장으로 하는 위기대응지원본부를 24시간 운영체체로 가동하기 시작했다. 이에 전국의 344개 구급대를 감염병 전담구급대로 지정해서 관할 보건소와 협력해서 이송업무를 지원했다.
 그리고 2월 말 코로나19 확진환자가 급속히 증가함에 따라 2월 23일 위기경보단계가 ‘심각’ 단계로 격상되면서 지원본부장을 청장으로 격상하고 지원본부를 4개반에서 5개반으로 확대 편성했다. 이에 따라 소방청 및 18개 시도본부는 하루 최대 총 500여 명이 대응하고 있다.
   총괄대응반, 상황관리반, 운영지원반, 정보지원반, 언론홍보반
 지난 1월 27일 경계단계가 발령된 이후 5월 5일까지 100일 동안 전국 119구급대는 코로나19 확진환자 9,794명, 의심환자 22,113명 등 총 33,064명을 이송했으며 코로나 관련 26,942건의 응급의료상담(재외국민 포함)을 했다.
",Realism
7,소방청(청장 정문호)은 코로나19로 경제적 어려움을 겪는 소방기업을 지원하기 위해 4월부터 6월까지(3개월) 제품검사나 보증수수료 감면을 추진한다고 밝혔다. 코로나19로 인한 공사중단 등으로 소방제조업 매출이 감소함에 따라 금년 6월 30일까지 검사를 완료할 수 있는 소방제품에 대해 제품검사 수수료를 30% 감면받을 수 있다.," 소방청(청장 정문호)은 코로나19로 경제적 어려움을 겪는 소방기업을 지원하기 위해 4월부터 6월까지(3개월) 제품검사나 보증수수료 감면을 추진한다고 밝혔다.
   소방사업체(8,941개소) : 소방시설업 6,198 / 소방관리업 456 / 방염업 786 / 제조업 등 1,501 
  코로나19로 인한 공사중단 등으로 소방제조업 매출이 감소함에 따라 금년 6월 30일까지 검사를 완료할 수 있는 소방제품에 대해 제품검사 수수료를 30% 감면받을 수 있다.
  또한, 공사장 폐쇄나 근로자 격리조치로 불가피하게 소방공사기간이 연장된 경우 소방산업공제조합에 납부하여야하는 보증기간 연장수수료(연 0.49~0.76%) 전액을 면제받을 수 있다. 
   소방공사업체가 당초 보증기간안에 공사를 마치지 못해 기간연장이 되는 경우 납부하는 수수료
  아울러, 발주처가 공사진행에 따라 공사업자에게 주는 선금을 소방산업공제조합이 보증해주므로써 지불하는 소방공사 선급금 보증 수수료를 15%까지 할인받을 수 있다. 수수료 할인을 받고자 하는 업체는 6월 30일까지 신청하면 된다.
   발주처로부터 선금을 받은 공사업체가 계약대로 공사를 이행하지 못했을 경우에 대비해 소방산업공제조합이 발주처의 선금을 보증해 주면서 받는 수수료
 자세한 신청방법은 소방청이나 소방청 산하기관(한국소방산업기술원, 소방산업공제조합 등)홈페이지에서 안내받을 수 있다.
 소방청 관계자는 코로나19 확산 경과에 따라 필요 시 지원기간 연장도 검토할 예정이라고 말하고 어려운 시기를 소방기업과 소방공사를 발주한 기업이 잘 극복할 수 있도록 적극 지원하겠다고 말했다.
",Realism
8,"소방청(청장 신열우)은 소방청이 주최하고 한국안전인증원, 한국소방산업기술원과 한국소방안전원이 공동 주관하는 제19회 대한민국 안전대상의 수상자를 선정했다고 밝혔다. 대한민국 안전대상은 안전관리 우수사업장의 모범사례를 널리 전파하기 위해 2002년에 만들었으며, 안전관리 우수기업과 단체, 개인을 발굴하여 시상하고 있다."," 소방청(청장 신열우)은 소방청이 주최하고 한국안전인증원, 한국소방산업기술원과 한국소방안전원이 공동 주관하는 제19회 대한민국 안전대상의 수상자를 선정했다고 밝혔다.
 대한민국 안전대상은 안전관리 우수사업장의 모범사례를 널리 전파하기 위해 2002년에 만들었으며, 안전관리 우수기업과 단체, 개인을 발굴하여 시상하고 있다.
 시상규모는 대통령상 3점을 포함한 36점으로, 우수기업상 17점, 특별상 13점, 웹툰 등 콘텐츠 공모 6점이다.
  
 올해부터는 안전수준 평가기간을 최근 2년에서 3년으로 확대해 보다 지속적인 안전관리의 중요성을 강조했고, 현장심사과정에 국민이 참여하도록 해 국민의 공감대를 형성하고 평가의 공정성과 투명성을 높였다.
  국민참여평가단 : 만 19세 이상의 대한민국 국민 중 시민단체 등의 추천을 받은 37명이 피난안전성, 사업장 안전관리 분야 평가에 참여함
 올해 대통령상은 LG사이언스파크(우수기업상), 현대자동차 주식회사 아산공장(우수기업상)과 국립생태원(특별상)이 수상했다. 
 LG사이언스파크는 위험작업장에 사물인터넷 기술을 활용한 카메라를 설치해 양방향 안전관리를 시행하고 현장직원들의 안전지식 향상을 위해 안전환경체험관(가상현실체험관)도 운영하고 있으며 안전시설 관리를 용역업체에 맡기지 않고 직접 수행하는 등 엄격한 안전관리로 높은 점수를 받았다.
 현대자동차 아산공장은 화재예방관리 전문업체가 상주하여 안전문제 발생 시 즉시 조치하는 등 비상상황에 대한 대응능력이 돋보였고, 무인공정 시스템에는 불꽃감지기를 추가로 설치해 화재발생 감시체계를 첨단화 했다.
",Realism
9,"소방청(청장 정문호)은 국내 거주 외국인의 수가 증가함에 따라 외국인을 대상으로 안전에 대한 관심을 유발하고 맞춤 정책을 발굴하기 위해 유튜브 영상을 제작한다고 밝혔다. 외국인 대상 첫 영상인 ‘어서 와, 한국안전은 처음이지(easy)’는 한국에 6년째 거주하는 오스트리아 출신 모델 겸 배우 케이디(Kady) 가 출연해 한국 생활 중 겪은 화재와 교통사고 경험을 들려줄 계획이다."," 소방청(청장 정문호)은 국내 거주 외국인의 수가 증가함에 따라 외국인을 대상으로 안전에 대한 관심을 유발하고 맞춤 정책을 발굴하기 위해 유튜브 영상을 제작한다고 밝혔다.
  〇 국내에 거주하는 외국인은 귀화, 결혼이민, 구직, 유학 등의 형태로 다양화되고 있고, 최근 3년간 지속적으로 증가하여 지난 해 250만명을 넘어섰다.
  〇 그동안 소방청은 외국인을 대상으로 한 다중언어 홍보자료 배포나 학생들 대상의 방문 교육 등을 실시해왔다. 그리고 이번에는 국내에 거주하는 외국인의 객관적인 시각과 경험을 통해서 한국 소방서비스의 장단점을 들어보고자 유튜브 영상을 만들게 되었다고 밝혔다.
 외국인 대상 첫 영상인 ‘어서 와, 한국안전은 처음이지(easy)’는 한국에 6년째 거주하는 오스트리아 출신 모델 겸 배우 케이디(Kady) 가 출연해 한국 생활 중 겪은 화재와 교통사고 경험을 들려줄 계획이다.
   케이디(Kady) : 오스트리아 출신 유학생. 현 광고모델, 각종 공익홍보영상 출연
  〇 케이디는 자신의 고향인 오스트리아, 학창 시절을 보냈던 미국, 중국 등 다양한 국가에서 생활하며 보고 느꼈던 나라별 소방서비스를 비교해 외국인 뿐 아니라 내국인도 흥미롭게 볼 수 있을 것으로 보인다. 
  〇 또한 화재경보기와 소화기 등 소방시설의 중요성과 사용 방법을 배우며 외국인 대상의 안전한 주거환경 조성을 위한 영상도 촬영한다.
 조선호 소방청 대변인은 한국 문화가 세계적으로 인기가 올라가는 만큼 국내에 살거나 여행하는 외국인들에게 안전이 더욱 중요해지고 있다고 말하고 앞으로 이들과 편리하게 소통할 수 있는 교육홍보물을 늘려가겠다고 밝혔다.
",Realism
