Passage,Summary,Style
"미국이 한국이 미국에 수출하는 철강에 고율의 관세를 부과하는 데 대해 김동연 경제부총리와 강경화 외교부 장관이 ‘한미공조’와 ‘안보동맹’을 내세워 재고를 요청했다. 이러한 주장은 한 달 전 청와대가 이 문제에 대해 ""경제는 경제, 안보는 안보""라는 입장을 취했던 것과는 대조적이다.
강경화 외교부 장관은 3월 19일(현지시각) 자 영국 와의 인터뷰에서 ""그 조치(철강관세부과)가 북핵 문제에 대한 한국과 미국의 공조에 나쁘다""고 주장했다. 강 장관은 ""더 넓고 포괄적으로 논의하자면 이것은 미국이 안보동맹에, 특별히 지금 이 시점에 할 일은 아니라는 점""이라고 주장했다.
김동연 부총리 겸 기획재정부 장관도 3월 19일 스티븐 므누신 미국 재무장관을 만난 자리에서 “어느 때보다 한·미 간 긴밀한 공조가 중요해진 시점에서 미국 정부의 관세 부과 조치는 양국 관계에 잘못된 시그널을 줄 수 있다”며 철강 관세 부과를 면제해 달라고 요청했다.
한마디로 ‘한미동맹’ ‘한미공조’라는 정치·외교·안보 논리를 가지고 미국을 설득하고 있는 것이다. 그런데 한 달 전까지만 해도 청와대는 이 문제에 대해 정반대로 해석할 수 있는 주장을 내놓았었다.
문재인 대통령은 2월 19일 철강업 미국의 무역 제재와 관련, “불합리한 보호무역 조치에 대해서는 세계무역기구(WTO) 제소와 한·미 자유무역협정(FTA) 위반 여부 검토 등 당당하고 결연히 대응해 나가라”고 주문했었다.
","미국이 한국이 미국에 수출하는 철강에 고율의 관세를 부과하는 데 대해 김동연 경제부총리와 강경화 외교부 장관이 ‘한미공조’와 ‘안보동맹’을 내세워 재고를 요청했다. 이러한 주장은 한 달 전 청와대가 이 문제에 대해 ""경제는 경제, 안보는 안보""라는 입장을 취했던 것과는 대조적이다.",Sketch
" 동독의 군사 스파이 활동은 서독군과 NATO의 군사력 현황·군비충원계획·국방정책 등의 정보수집에도 집중됐다. 이 업무는 슈타지 해외공작총국과 동독군 첩보국이 주로 담당했는데 두 조직은 서독에 다수(多數)의 정보원들을 보유하고 있었다. 서독의 고급정보원들은 대부분 평범한 직원들이었지만 직장에서 광범위한 정보에 접근할 수 있었고 유사시 정보유출을 통해 서독 방위체계에 치명적 손실을 입힐 수도 있었다. 수집한 정보는 소련을 중심으로 바르샤바 조약국들에도 전달·공유됐다.
 라이너 룹(공작명 토파스)은 젊은 시절 사회주의에 매력을 느껴 ‘68학생운동’ 폭력시위에도 참가했던 좌파 성향의 인물이었다. 68학생운동은 1968년 유럽 각지에서 일어난 사회변혁운동으로 독일에서는 사회주의독일학생연맹을 중심으로 대대적인 연좌농성·파업·폭동이 일어났다.
 룹은 미국·NATO를 담당하던 슈타지 공작요원에게 포섭돼 동베를린 슈타지 본부에서 서류 사진 찍기, 암호 작성, 무선송신 등 간첩교육을 받았다. 슈타지의 도움으로 브뤼셀에서 학업을 지속하다 브뤼셀 영국 군사고문단에 근무하던 영국 여성을 사귄 후 1972년 결혼식까지 올렸다. 그의 아내도 간첩행위에 가담했는데 NATO 내 여러 곳의 부서를 옮겨가며 기밀을 빼돌렸다. 룹도 1977년부터 NATO에 근무하며 NATO의 군사계획·지휘부 구조·바르샤바 조약국들의 군비증강에 대한 평가 등을 슈타지에 보고했다. 그의 간첩활동은 통일이 될 때까지 계속됐다. 그는 통일 후 슈타지 비밀문서를 입수한 CIA에 의해 적발돼 1993년 체포, 12년형을 선고받았다.
",동독의 군사 스파이 활동은 서독군과 NATO의 군사력 현황·군비충원계획·국방정책 등의 정보수집에도 집중됐다. 이 업무는 슈타지 해외공작총국과 동독군 첩보국이 주로 담당했는데 두 조직은 서독에 다수(多數)의 정보원들을 보유하고 있었다.,Sketch
" 오늘 오후 페어헤이븐 언덕에 올라갔을 때 톱질하는 소리가 들렸다.
 조금 후에 언덕의 벼랑에서 내려다보니, 저 아래 200m쯤 떨어진 곳에서 두 사람이 우람한 소나무 한 그루를 톱으로 자르고 있는 것이 아닌가. 나는 그 소나무가 쓰러지는 모습을 지켜보기로 했다. 이 소나무는 우거진 소나무숲이 잘릴 때 남은 열두어 그루의 나무 중 맨 마지막까지 남은 나무였다. 그 소나무들은 지난 15년 동안 어린나무들만이 싹터 자라는 땅을 내려다보며 고독한 위엄 속에 바람에 흔들리고 있었다.
 두 사람이 난쟁이 인형처럼 나무 두께보다 더 길 것 같지 않은 동가리톱으로 자르는 모습은 이 고귀한 나무의 밑동을 갉아 먹고 있는 비버나 곤충처럼 보였다. 나중에 가서 재보니 이 나무의 높이는 30m나 되었다. 이 읍에서 자라는 가장 큰 나무 중 하나일 이 나무는 화살처럼 미끈하게 뻗었으며 언덕 쪽으로 약간 비스듬하게 서 있었다. 나무의 수관 옆으로는 얼어붙은 콩코드강과 코낸텀 언덕이 보였다.
 나는 언제쯤 나무가 쓰러지나 주의 깊게 그 순간을 지켜보았다.
 두 사람은 톱질을 멈추더니 나무가 기우는 방향의 톱질한 곳을 도끼로 찍어서 조금 더 틈을 벌린다. 나무가 더 빨리 쓰러지도록 하려는 것이다. 그러고는 다시 톱질을 계속한다. 이제 나무는 틀림없이 쓰러지기 시작할 것이다. 그것은 4분의 1쯤 기울어져 있다. 나는 숨을 죽이고 나무가 꽝하고 쓰러지기를 기다린다. 그런데 그게 아니다. 나무는 1cm도 움직이지 않았다. 처음과 똑같은 각도로 서 있다.
",두 사람은 톱질을 멈추더니 나무가 기우는 방향의 톱질한 곳을 도끼로 찍어서 조금 더 틈을 벌린다. 나무가 더 빨리 쓰러지도록 하려는 것이다. 나무는 1cm도 움직이지 않았다.,Sketch
"다시금 옥리(獄吏)가 소리쳤다.
 “장호익!”
 5명의 동지가 그에게 시선을 보내자 장호익은 “그럼 먼저…” 하면서 밖으로 나갔다. 그는 한칼에 죽지 않았다. 세 번째 칼을 내려칠 때까지 그는 “만세!”를 외쳤다.
 당시 한성감옥에 수감 중이던 이승만(李承晩)은 옥중 창문을 통해 이 장면을 지켜보았다. 그는 후일 자신의 홍보고문이었던 로버트 T. 올리버에게 이때의 일을 술회했다. 올리버는 자신의 저서 《이승만: 신화에 가린 인물》에서 장호익을 ‘위대한 애국자’라고 지칭했다.
 장호익(張浩翼·1871~1904년)은 일반인들에게는 생소한 인물이다. 일본 육군사관학교 11기(사관후보생) 출신으로 동기생들과 혁명일심회(革命一心會)를 조직, 정부를 전복하려다가 발각되어 처형됐다.
 개화의 역군으로 기대를 모으면서 일본에 가서 신식 군사교육을 받고 왔지만 구한말(舊韓末)의 거듭되는 정변(政變)의 와중에서 비명(非命)에 간 사람은 장호익뿐이 아니었다. 장호익 같은 사람만 ‘비극의 군인’은 아니었다. 장호익의 일본 육사 동기생으로 대한민국임시정부 군무총장과 국무총리를 역임한 노백린(盧伯麟·1875~1926년)처럼 독립운동에 투신, 풍찬노숙(風餐露宿)하다가 이역(異域) 땅에서 눈을 감은 이들도 ‘비극의 군인’이었다. 장호익·노백린의 일본 육사 동기생으로 젊은 시절 함께 부패한 나라를 바로잡아 보려 노력했지만, 나라가 망한 후에는 적국(敵國)인 일본 군복을 입어야 했던 어담(魚潭·1881~1943년) 같은 이들은 또 다른 의미에서 ‘비극의 군인’이었다. 그리고 나라가 망하고 한참 후에 태어나 일본 육사에 진학했다는 것 때문에 두고두고 ‘친일파(親日派)’라는 낙인이 찍히게 된 이들도 있다. 그들도 ‘비극의 군인’이었다.
","일본 육군사관학교 11기(사관후보생) 출신으로 동기생들과 혁명일심회(革命一心會)를 조직, 정부를 전복하려다가 발각되어 처형됐다. 개화의 역군으로 기대를 모으면서 일본에 가서 신식 군사교육을 받고 왔지만 구한말(舊韓末)의 거듭되는 정변(政變)의 와중에서 비명(非命)에 간 사람은 장호익뿐이 아니었다. 장호익 같은 사람만 ‘비극의 군인’은 아니었다.",Sketch
" 지난 1월 14일, 3권분립 파괴 논란을 묵살하고 국회의장 출신 정세균(丁世均)씨가 총리에 취임했다. 이미 전임 이낙연(李洛淵) 전 총리가 총리에 재임하는 것만으로 ‘대권 후보’ 반열에 올랐기 때문에, 같은 호남 출신의 베테랑 정치인 정세균의 총리 취임 또한 여권의 대권 구도에 어떤 식으로든 영향을 미칠 것이 분명하다.
 그러나 이런 정치적 퍼즐을 풀기도 전에 나라 전체에 몰려온 중국발(發) 코로나 사태가 정 총리의 입지를 한층 더 어렵게 만들어버렸다. 한마디로 엄중한 상황이기 때문이다.
 비교적 튀지 않는 행보에 합리적 성품의 소유자로 알려진 정세균 총리는, 6선(選) 의원에 두 차례 종로구에서 당선되고 조용한 처신 때문인지 크게 뉴스의 초점이 된 적은 드물다. 총리 취임 후 한 달 만인 지난 2월 종로의 한 상가를 방문해 상인과 대화하던 중 “손님이 적어 편하시겠네”라고 발언해 구설(口舌)에 오른 것은 정 총리로서 매우 예외적 상황이라 할 것이다. 그만큼 그의 정치는 조용했다. 바꿔 말하면 재미가 없는 정치인이라는 말도 될 것이다.
 여러 해석이 가능하겠지만 이번 정세균 총리의 등장은 문재인 정권 전체 문맥에서는 새로운 대권 후보군 형성과는 거리가 있어 보인다. 대략 총선을 앞두고 호남표 다지기 이상의 의미를 찾기 어렵다는 말이다.
 대신 정권 후반기로 접어들면서 터져나올 수밖에 없는 청와대발(發), 여권발, 행정부발 각종 악재(惡材)를 처리해야 하는 ‘소방수’ 역할이 정 총리에게 주어진 과제였다고 할 것이다. 이런 상황에서 코로나 전염까지 터진 것이다.
","지난 1월 14일, 3권분립 파괴 논란을 묵살하고 국회의장 출신 정세균(丁世均)씨가 총리에 취임했다. 이미 전임 이낙연(李洛淵) 전 총리가 총리에 재임하는 것만으로 ‘대권 후보’ 반열에 올랐기 때문에, 같은 호남 출신의 베테랑 정치인 정세균의 총리 취임 또한 여권의 대권 구도에 어떤 식으로든 영향을 미칠 것이 분명하다.",Sketch
" “중국인들을 존경하고 그들에게 경탄하고 있습니다. 미국은 중국인들과의 오랜 우정의 역사를 간직하고 있습니다. 그러나 중국공산당은 중국은 물론 중국인들에게 합당한 존재가 아닙니다.”
 중국의 미국에 대한 침투는 소련의 경우보다 오히려 더욱 노골적이다. 그래서 지금 미국은 중국과의 전쟁에 국내적인 성격을 더욱 강하게 갖는 정부 조직인 연방수사국(Federal Bureau of Investigation·FBI)까지 적극 참여시키고 있다. 지난 7월 7일 워싱턴 소재 허드슨연구소에서 행한 〈미국의 제도에 영향을 미치려는 중국의 시도(China’s Attempt to Influence U.S. Institutions)〉라는 연설에서 레이 국장은 중국이 지난 수십 년 동안 미국이 자유주의 사회라는 사실을 악용, 미국 내에서 자행한 온갖 불법적인 지식 도둑질, 협박, 부패조장, 언론조작, 검열, 간첩 행위를 위해 중공이 접촉한 미국 내 조직과 제도, 중국에 의해 불법 행위를 저지르게 된 미국에 거주하는 사람들의 이름들까지 구체적으로 거론하며 설명했다. 레이 국장은 중국이 행한 산업 스파이, 절도, 강탈, 사이버 공격 및 악랄한 로비 활동 등 사악하고도 불법적인 행동 등 중공이 추구하고 있는 야심 찬 행동 양태들을 구체적으로 밝힌다.
 레이 국장의 언급이 있기 전 미국 정부가 중국공산당원의 미국 입국을 차단할 것이라는 보도가 있었고, 많은 언론인은 미국이 그렇게 광범한 자료를 가지고 있지 못하기 때문에 그 조치를 시행하기 어려울 것처럼 보도했다. 
",“중국인들을 존경하고 그들에게 경탄하고 있습니다. 미국은 중국인들과의 오랜 우정의 역사를 간직하고 있습니다. 그러나 중국공산당은 중국은 물론 중국인들에게 합당한 존재가 아닙니다.” 중국의 미국에 대한 침투는 소련의 경우보다 오히려 더욱 노골적이다. 그래서 지금 미국은 중국과의 전쟁에 국내적인 성격을 더욱 강하게 갖는 정부 조직인 연방수사국(Federal Bureau of Investigation·FBI)까지 적극 참여시키고 있다.,Sketch
" 중국에는 이런 말도 있다. ‘친구의 복수를 10년 내에 하면 부끄럽지 않다’. 또 어떤 이는 누군가에게 수모를 당했지만 힘에 부쳐 당장 어찌할 수 없자 겨울이 돌아오기를 기다렸다. 그리고 정말 견디기 힘든 강추위의 밤이 찾아오자 그의 집을 찾아가 멀리서 돌을 던져 창문을 깨트렸다. 한밤중에 깨진 유리창이니 그들은 어쩔 수 없이 밤새 추위에 떨게 될 것이고, 수모를 당했던 이는 그로써 복수를 한 것이니 속이 후련했다나. 우스개 같은 이야기지만 사실이다. 다르지 않은 라오바이싱인 그들의 속내는 어떤 것일까.
 밝힐 수 있는 건 왕(王)이라는 성씨와 53살의 나이밖에 없다. 대대로 베이징에서 태어나고 산 베이징런(北京人)이기는 한데 살아온 삶이 남달랐다. 고등학교를 졸업하고 반도체 공장을 다닐 때까지는 평범한 삶이었는데 개혁개방으로 세상이 바뀌자 그의 삶도 달라졌다.
 짧게 깎은 머리, 단단한 근육. 한눈에 주먹 혹은 건달의 포스가 느껴진다.
 —건강해 보이네요.
 “웬걸요, 당뇨가 있어요.”
 —그래도 아직 주먹은 쓸 수 있죠.
 “꼭 써야 할 일이라면.”
 —학교 때도 주먹을 썼을 것 같은데.
 “지기 싫으니 휘둘렀지만 약자를 괴롭히는 짓은 안 했고, 남에게 별로 져본 적도 없어요.”
 —개혁개방 이후 무슨 일을 했나요.
 “다거(大哥·큰형님)를 만나 그분과 함께 30년 가까이 살아 왔지요. 그렇다고 다거에게 정기적인 급여를 받는 건 아니고, 그저 모시고 도움을 받기도 하면서 돈도 벌고 했죠.”
",밝힐 수 있는 건 왕(王)이라는 성씨와 53살의 나이밖에 없다.  고등학교를 졸업하고 반도체 공장을 다닐 때까지는 평범한 삶이었는데 개혁개방으로 세상이 바뀌자 그의 삶도 달라졌다.,Sketch
" 이러니 평소 대중문화에 별 관심 없는, 정치와 사회 문제 등에 주로 관심 있는 중장년 남성층이라도 1년에 한 번 있을까 말까 한 극장 나들이를 이들 대선 주자들이 본 정치영화로 정하게 되는 것도 무리가 아니다. 그렇게 흥행 성공으로의 길도 쉽게 열린다.
 그런데 많은 이가 궁금해할 만한 부분, 즉 이들 ‘대선용 영화’가 현실 정치, 그중에서도 선거 그 자체에 미치는 영향에 대해서는 대부분의 예상과는 전혀 다른 결론이 나온다. 단적으로 말해, 영향은 극히 적다고 볼 수 있다. 언급했듯, 이들 영화는 각자의 이데올로기적 정체성 확인을 위한 영화이며, 그를 통해 세 결집에 가담하는 동질감(同質感)을 주는 역할에 가깝기 때문이다. 쉽게, 애초 어느 한쪽을 지지해 그리로 투표를 할 사람들이 그에 맞는 ‘대선용 영화’를 보는 식이다.
 예컨대 〈화려한 휴가〉 때만 해도 야당이었던 한나라당의 불안감은 어마어마했다. 영화를 보고 감명받은 관객들이 일제히 열린우리당에 표를 주지 않을까 염려했기 때문이다. 반대로 여당 열린우리당 측에서는 기대감이 팽배(澎湃)했었다. 아닌 게 아니라 당시 여당 내부에선 “〈화려한 휴가〉가 500만 관객을 넘어서면 여당의 승리”라는 장밋빛 전망까지 나돌았다고 당시 언론들은 보도하고 있다. 그러나 다들 알다시피, 정작 실제 대선은 꾸준히 이명박 후보의 압도적인 우세 속에 진행되다 결국 변수 없이 이 후보의 압승(壓勝)으로 끝났다. 〈화려한 휴가〉의 개봉 이후 행해진 갖가지 여론조사에서도 이렇다 할 영향을 준 흔적은 내내 보이지 않았다.
","그런데 많은 이가 궁금해할 만한 부분, 즉 이들 ‘대선용 영화’가 현실 정치, 그중에서도 선거 그 자체에 미치는 영향에 대해서는 대부분의 예상과는 전혀 다른 결론이 나온다. 언급했듯, 이들 영화는 각자의 이데올로기적 정체성 확인을 위한 영화이며, 그를 통해 세 결집에 가담하는 동질감(同質感)을 주는 역할에 가깝기 때문이다.",Sketch
"배낭여행차 스코틀랜드 에든버러에 도착한 것은 9월 16일 아침이었다. 두 번째 찾은 에든버러는 여전히 아름다웠다. 저녁에 찾은 펍(pub)은 유난히 활기에 차 있었다. 옆자리에 앉은 사람에게 물어보니 9월 18일로 예정된 스코틀랜드 독립에 관한 국민투표 때문이라고 했다. 순간 ‘내가 역사적 순간이 될 수도 있는 시기에 스코틀랜드에 와 있다’는 생각이 들었다. 그와 함께 정치적 열정이 들끓는 시기에 뜻밖의 봉변을 당하지는 않을까 하는 걱정도 들었다.
 그것은 기우(杞憂)였다. 나는 스코틀랜드에 머무는 동안 어떠한 일탈행위도 보지 못했다. 요란한 시위도 없었다. 독립에 찬성하는 사람들은 ‘YES’, 반대하는 사람들은 ‘NO’라고 적힌 스티커를 붙이고 다니면서 조용히 자신의 의사를 표현할 뿐이었다. 
 우리나라로 치면 광화문 광장쯤 되는 에든버러 광장에서는 몇몇 사람이 모여 ‘YES’라는 스티커를 붙인 피켓을 들고 조용히 인터뷰를 하거나 침묵시위를 했다. 요란하고 폭력적인 한국의 시위문화에 익숙해 있던 내게는 경이로운 모습이었다.
 펍이나 레스토랑에서는 독립에 관한 이야기가 오고 갔지만, 그조차도 여러 대화 주제 중 하나일 뿐이었다. 언성을 높이는 사람은 없었다. 저마다 자신의 주장을 논리정연하고 차분하게 전개하는 모습이 인상적이었다.
 9월 19일 아침, 국민투표 결과가 나왔다. 투표율은 92%. 투표자의 55%가 ‘NO’를 선택해, 스코틀랜드는 영국의 일부로 잔류하기로 했다. 
",두 번째 찾은 에든버러는 여전히 아름다웠다. 저녁에 찾은 펍(pub)은 유난히 활기에 차 있었다. 옆자리에 앉은 사람에게 물어보니 9월 18일로 예정된 스코틀랜드 독립에 관한 국민투표 때문이라고 했다.,Sketch
"천안함 사건 이후 동북아시아 지역에서는 미·중(美中) 간의 경쟁과 갈등이 본격화되는 양상을 보이고 있다. 
 양국(兩國) 간의 경쟁과 갈등은 지난 5월 20일 한국의 민·군(民軍) 합동조사단이 내놓은 천안함 조사결과에 대한 반응에서부터 시작되었다. 천안함 침몰의 원인이 북한의 소행이란 결과가 포함된 조사결과서가 나온 직후 미국의 백악관과 의회는 모두 한국정부의 조사결과를 지지한다는 성명을 발표한 반면, 중국은 조사결과에 대해 긍정도 부정도 하지 않는 애매모호한 입장을 견지하면서 북한이 범인이라는 결정적 증거가 부족하다는 입장을 고수했다. 또한 유엔안보리(安保理) 의장성명 채택과정에서도 미국은 한국과 공조(共助)하여 천안함이 북한의 어뢰공격에 의해 격침됐고 이를 국제사회가 강력히 규탄한다는 내용을 담으려 했던 반면, 중국은 오히려 어뢰공격에 의한 침몰이란 언급을 누락시키고 북한을 직접적인 공격 주체로 명시하지 못하도록 하는 데에 외교적 노력을 집중하였다. 
 특히 우리 정부가 천안함 침몰사건에 대한 대응조치의 일환으로 서해에서 한미(韓美)연합 해상훈련을 실시하면서 미 해군의 대형항모 조지 워싱턴호가 작전에 참가한다고 발표하자 중국은 훈련을 실시하는 서해가 자국(自國)의 영토와 매우 가깝다는 이유로 한미연합훈련에 분명하게 반대하는 입장을 표했다. 중국의 안보적 우려를 고려하여 한미 양국 정부가 연합훈련 장소를 동해로 이전했음에도 불구하고 중국은 한미연합훈련에 대한 반대의사를 굽히지 않았다. 게다가 중국은 한미연합훈련에 대한 맞대응 차원에서 서해 및 남중국해에서 항의성 군사훈련을 실시했다. 중국 인민해방군은 동해에서 실시한 한미연합훈련 기간을 전후하여 한 달여 만에 정례(定例)훈련을 포함한 8번의 대규모 군사훈련을 실시했다. 이는 미국과의 군사적 갈등에 따른 중국의 경고성 조치로 이해되고 있다.
","천안함 침몰의 원인이 북한의 소행이란 결과가 포함된 조사결과서가 나온 직후 미국의 백악관과 의회는 모두 한국정부의 조사결과를 지지한다는 성명을 발표한 반면, 중국은 조사결과에 대해 긍정도 부정도 하지 않는 애매모호한 입장을 견지하면서 북한이 범인이라는 결정적 증거가 부족하다는 입장을 고수했다. 양국(兩國) 간의 경쟁과 갈등은 지난 5월 20일 한국의 민·군(民軍) 합동조사단이 내놓은 천안함 조사결과에 대한 반응에서부터 시작되었다.",Sketch
