,Summary,Passage,Style
0,‘경주부사선생안(慶州府司先生案)’은 1523년(중종 18년) 경주부(慶州府)의 호장 김다경(金多慶)이 1361년(공민왕 10)에 작성된 고려시대 선생안 ‘경주사 수호장 행안(慶州司首戶長行案)’을 바탕으로 편찬한 구안(舊案)과 1741년(영조 17) 이정신(李廷臣) 등이 작성하여 1910년까지 경주부사를 역임한 인물들을 추록한 신안(新案)으로 이루어진 2종 2책의 선생안이다.,"‘경주부사선생안(慶州府司先生案)’은 1523년(중종 18년) 경주부(慶州府)의 호장 김다경(金多慶)이 1361년(공민왕 10)에 작성된 고려시대 선생안 ‘경주사 수호장 행안(慶州司首戶長行案)’을 바탕으로 편찬한 구안(舊案)과 1741년(영조 17) 이정신(李廷臣) 등이 작성하여 1910년까지 경주부사를 역임한 인물들을 추록한 신안(新案)으로 이루어진 2종 2책의 선생안이다. ‘선생안(先生案)’은 해당 관청에서 근무한 역대 관리들의 직함과 이름을 기록한 명부이다. 호장으로 부임한 연도와 업무를 맡은 날짜 등이 상세히 기록되어 있어 해당 관청의 행정과 인사(人事), 인물사 연구에 매우 귀중한 사료로 평가받고 있다. 선생안은 지역을 달리해 여러 자료가 남아있으나, 이 ‘경주부사선생안’은 현존하는 선생안 중 제작시기가 가장 빠르고, 내용상 고려시대부터 1910년에 이르기까지 역사적 완결성이 뛰어나며 장정 형식과 크기 등에서 단연 돋보이는 유물이다.  ‘경주부사선생안’ 구안은 1281년(충렬왕 7) 호장 김성비(金成庇)부터 1713년에 임명된 최준위(崔浚渭)에 이르기까지 수록되었고, 신안은 1628년(인조 6)에 부임한 이인(李仁)에서 시작해 1910년 호장을 역임한 최병교(崔炳敎)를 마지막으로 추록하였다. 호장마다 직함과 이름 아래에 작은 글씨로 4대조(四代祖), 인신(印信)을 받은 날자[掌印年月日], 대궐에 숙배(肅拜)한 사실[詣闕肅拜], 관복 하사[紅鞓下賜] 등의 내용이 상세히 기록되어 있다.  따라서 이 선생안은 고려 말~20세기 초에 이르는 약 630년 동안 경주에 부임한 호장들의 명단을 망라한 자료라고 할 수 있으며, 당대 정치․문화사적으로 위상이 높았던 명인(名人)들이 다수 수록되어 있고 서문(序文)에는 이두(吏讀)가 혼용되어 있어 당대 인물사 및 국어사 자료로서 의미가 크다.  구안은 고려시대 선생안 내용이 반영된 현존하는 가장 오래된 선생안이라는 사실, 신안은 추록을 통해 구안을 보완해 주는 자료라는 측면에서 연속성을 가지고 있다는 점이 가장 중요한 특징이다. 아울러 조선왕실에 간행한 의궤(儀軌)에 버금가는 지질ㆍ규격ㆍ장황(粧䌙)을 갖추고 있어 중앙에서 파견된 관찰사 명단인『경상도영주제명기(慶尙道營主題名記)』와 비교해도 형태서지학적으로 손색이 없다.  이처럼 ‘경주부사선생안’은 고려 말~조선시대 인사행정과 인물사 연구를 위한 역사적․학술적 의의가 매우 큰 자료이므로 보물로 지정해 보존할 가치가 충분하다.",Oriental ink painting
1,가천박물관에서 소장하고 있는 『신간소문입식운기론오』는 『황제내경소문(黃帝內經素問)』의 「오운육기론(五運六氣論)」에 근원하여 운기(運氣)가 질병의 발생에 어떤 영향을 미치는가에 대해 정리한 의학전문서이다.,"가천박물관에서 소장하고 있는 『신간소문입식운기론오』는 『황제내경소문(黃帝內經素問)』의 「오운육기론(五運六氣論)」에 근원하여 운기(運氣)가 질병의 발생에 어떤 영향을 미치는가에 대해 정리한 의학전문서이다. 16세기에 간행된 초창기 목판본을 저본으로 삼아 조선에서 갑진자본 금속활자로 번각한 것이다. 『신간소문입식운기론오』 서문은 송나라시기인 원부기묘세(元符己卯歲)(1099) 정축월 망일에 조산랑태의학사업(朝散郞太醫學司業) 유온서(劉溫舒)가 썼다.  서문에 이어서 전체 목록이 수록되어 있으며, 본문은 삽도가 먼저 제시되고 이어서 삽도에 대한 해설이 설명되는 형식으로 편찬되어 있다. 삽도는 ‘육십년기운도(六十年紀運圖)’를 비롯한 29종의 그림을 수록하였다.  서문에 이어서 상 ․ 중 ․ 하 3권의 목록이 수록되어 있으며, 본문에는 삽도가 먼저 제시되고 이어서 삽도에 대한 상세한 해설이 설명되는 형식으로 편집되어 있다. 이 책의 가치는 전래인본이 드물고 그 내용 또한 한의학 연구에 있어 중요한 자료적 가치가 있다. 특히 간행시기가 16세기로 국내에 희귀하게 남은 조선전기 간행 의서로서 가치가 있다. 국내에 현존하는 한의서 중에 동일한 인본이 매우 드물다는 점에서도 문화재적 가치가 있다.",Oriental ink painting
2,"용호놀이는 지신밟기, 놀림마당, 부름마당, 빌마당, 싸움마당, 열림마당 등 총 6마당으로 구성된다. 용호놀이는 용과 범의 싸움을 놀이화한 것으로, 경상남도 밀양시 무안을 중심으로 정월 대보름을 전후하여 3일 동안 행해지는 민속놀이이다.","용호놀이는 용과 범의 싸움을 놀이화한 것으로, 경상남도 밀양시 무안을 중심으로 정월 대보름을 전후하여 3일 동안 행해지는 민속놀이이다. 줄다리기의 앞놀이에서 파생된 것으로 보고있으나 기원과 유래에 대해서는 정확히 알 수 없다. 무안마을 뒤편의 산등성이가 좌청룡·우백호와 같다하여 마을의 동부를 용마을, 서부를 범마을로 나누어 불러왔다.  용호놀이는 지신밟기, 놀림마당, 부름마당, 빌마당, 싸움마당, 열림마당 등 총 6마당으로 구성된다. 첫째마당은 앞마당이라 하여 대보름 전날인 14일에 집집마다 지신밟기를 하여 악귀를 쫓고 복을 빌어준다. 둘째마당은 놀림마당으로 대보름 아침에 농악을 울리며 상대 마을을 찾아가 놀림말로 마을사람들을 놀리고, 상대방의 준비상황을 둘러보고 돌아온다. 셋째마당은 부름마당으로 전투에 앞서 열을 정돈하고 전의를 돋우며 서로 어른다. 줄머리 위에는 대장이 영기를 붙잡고 오르는데 각 상대의 용과 범이 좋아하는 금양과 신의주를 상징하는 사람이 함께 오른다. 넷째마당은 빌마당이라 하여 고전의식의 하나로 양편의 용과 범이 일어나 서너번 머리를 굽혀 하늘에 큰절을 한다. 다섯째마당은 싸움마당으로 서로 다투다가 기회를 보던 금양과 신의주가 상대의 머리로 올라가 대장이 들고 있는 깃대를 빼앗아 원래의 위치로 돌아오면 승부는 끝이 난다. 여섯째마당은 열림마당으로 이긴 편을 선두로 양편이 다 줄을 메고 농악에 맞추어 한바탕 논다. 용호놀이는 수백 년 동안 전승되어 온 민속놀이로 다른 민속놀이보다 용맹성을 잘 보여주고 있으며, 마을의 평화와 풍년을 기원하는 농경의식이 담겨있다.",Oriental ink painting
3,"‘대웅보전’은 석가모니를 상(像)으로 만들어 모신 불전의 이름으로, 불전 중에서도 가장 중심이 되는 건축물이다. 이 건물은 기다란 화강석으로 기단을 쌓고, 원형으로 다듬은 주춧돌과 둥근 기둥으로 몸통을 구성하였다. 지붕은 옆에서 보면 ‘八(여덟 팔)’자 모양인 화려한 팔작지붕이다.","‘대웅보전’은 석가모니를 상(像)으로 만들어 모신 불전의 이름으로, 불전 중에서도 가장 중심이 되는 건축물이다. 남양주 수락산에 있는 흥국사는 선조(宣祖)의 부친인 덕흥대원군(德興大院君)의 명복을 빌기 위해 왕실에서 후원한 곳으로, 지금 모습은 여러 번의 화재 이후 1821년에 다시 세우고, 1888년에 고쳐 지은 것이다. 이 건물은 기다란 화강석으로 기단을 쌓고, 원형으로 다듬은 주춧돌과 둥근 기둥으로 몸통을 구성하였다. 지붕은 옆에서 보면 ‘八(여덟 팔)’자 모양인 화려한 팔작지붕이다. 지붕 네 귀퉁이에는 가느다란 기둥이 건물과 동떨어져 세워져 있는데 이를 활주라고 부른다. 지붕을 건물 벽체보다 길게 내밀어 끝이 쳐지는 것을 보완하기 위해 설치하는 것이다. 지붕 아래쪽 처마와 기둥사이에는 건물의 무게를 지탱하고, 화려하게 돋보이도록 하는 장치인 공포를 앞뒤 양옆에 모두 둘러 설치하였다. 건물 앞쪽은 칸마다 4짝의 문을 달았고, 옆면과 뒷면은 흙으로 벽을 치고 벽화를 그려 넣었다. 내부는 마루를 깔고 바깥의 기둥보다 높이가 높은 기둥인 고주를 세우고 불단을 구성하였다. 건물 안팎으로 단청이 화려하고 건물 모서리 기둥의 공포에 용조각을 특별히 추가한 모습은 조선후기 불전의 화려함을 보여주는 것이며, 지붕 위에 올린 기와로 된 조각상(잡상)은 궁궐에서도 특히 중요한 건물에만 올리던 특수기와의 한 종류로 이곳에 사용되었다는 것은 왕실의 후원으로 나라의 안녕을 기도하던 장소임을 상징적으로 보여주는 것이다.",Oriental ink painting
4,현존하는 전통 건축 가운데 드문 절충식 구성법을 보이고 있어 절 건축 연구에 중요한 자료가 된다.   보광전을 지은 것에 대한 기록은 없으나 조선 정조 6년(1782)에 고쳐 세운 기록이 있어 그 이전부터 존재한 것을 알 수 있다.,"청암사는 통일신라 헌안왕 2년(858)에 도선이 세운 뒤 여러 차례 고쳐 지은 절이다. 보광전을 지은 것에 대한 기록은 없으나 조선 정조 6년(1782)에 고쳐 세운 기록이 있어 그 이전부터 존재한 것을 알 수 있다. 또한 이에 앞서 숙종 15년(1689) 인현왕후가 장희빈 때문에 폐위되어 이곳 청암사 극락전에 은거하였는데, 이 때 극락전 서쪽에 인현황후의 복위를 빌기 위해 보광전을 세웠다는 설도 있다. 그 뒤 광무 9년(1905)에 다시 세웠으나 1911년 화재로 소실되었고 이듬해 다시 지어 오늘에 이르고 있다. 앞면 3칸·옆면 2칸 규모이며 지붕 처마를 받치기 위해 장식하여 만든 공포는 기둥 위와 기둥 사이에도 있는 다포 양식과 새 날개 모양으로 짠 익공 양식을 같이 보이고 있다. 안에는 42수의 관음보살을 모시고 있고 벽면에 산신도(山神圖), 독성도(獨聖圖), 신상도(神像圖) 등이 걸려 있으며 상벽에는 불화를 그려 놓았다. 현존하는 전통 건축 가운데 드문 절충식 구성법을 보이고 있어 절 건축 연구에 중요한 자료가 된다.",Oriental ink painting
5,"동백나무는 차나무과에 속하는 나무로 우리나라를 비롯하여 일본·중국 등의 따뜻한 지방에 분포하고 있다. 꽃은 이른 봄에 피는데 매우 아름다우며 꽃이 피는 시기에 따라 춘백(春栢), 추백(秋栢), 동백(冬栢)으로 부른다.","동백나무는 차나무과에 속하는 나무로 우리나라를 비롯하여 일본·중국 등의 따뜻한 지방에 분포하고 있다. 우리나라에서는 남쪽 해안이나 섬에서 자란다. 꽃은 이른 봄에 피는데 매우 아름다우며 꽃이 피는 시기에 따라 춘백(春栢), 추백(秋栢), 동백(冬栢)으로 부른다.  마량리 동백나무 숲은 서도초등학교에서 4.5㎞ 정도 떨어진 바닷가의 낮은 언덕에 위치하고 있다. 언덕에서 조금 더 올라가면 동백정(冬栢亭)이라는 아담한 정자가 있는데 이곳에 80여 그루의 동백나무가 흩어져 자라고 있다. 강한 바람을 받아 키가 작은 편이며, 2∼3m에 이르는 나무는 땅에서부터 줄기가 2∼3개로 갈라지면서 곁가지가 발달하여 나무의 모습이 둥근모양을 하고있다. 이 숲은 500m쯤 떨어진 마을의 바람을 막아주는 방풍림을 목적으로 만들어졌다고 하지만 그 기능은 찾아보기 어렵다. 전설에 의하면 약 300년 전 이 지방의 관리가 꿈에서 바다 위에 떠 있는 꽃다발을 보고 바닷가에 가보니 정말 꽃이 있어서 가져와 심었는데, 그 심은 꽃이 현재의 숲을 이루었다고 한다. 그 후 사람들은 해마다 음력 1월에 이곳에 모여 제사를 올리며 고기잡이에 재앙이 없기를 빌었다고 한다. 마량리 동백나무 숲은 우리나라에서 몇 안되는 동백나무숲으로서 동백나무가 자랄 수 있는 북쪽 한계선상에 위치하고 있어 식물분포학적 가치가 높다.또한 풍어제 및 전설을 간직하고 있는 숲으로서 문화적 가치도 높아 천연기념물로 지정·보호하고 있다.",Oriental ink painting
6,"<소령원도(昭寧園圖)> 는 산도의 형식을 취했으며 가운데 묘소와 좌측의 제청(祭廳), 우측의 비각(碑閣)을 배열하고 아래쪽에는 전답이 그려져 있다. 산수 표현에서 가늘고 기다란 피마준(披麻皴)이 미점(米點)과 더불어 사용되었으며, 화면 곳곳에 밝은 담채를 가하였다. <소령원화소정계도(昭寧園火巢定界圖)> 는 능원에 산불이 번지는 것을 방지하기 위하여 일정한 거리까지 초목을 불살라 제거하는 화소(火巢)를 표시한 것이다.","이 그림은 숙빈 최씨(1670~1718)의 무덤인 양주(楊洲)의 소령원(昭寧園)을 그린 묘산도이다. 숙빈 최씨는 영조의 생모로 1718년(숙종 44)에 사망하여 양주 고령동 옹장리(현 경기 파주시 광탄면 영장리)에 묻혔다. 이때는 영조가 즉위하기 전이라 묘(墓)라 하였다가 1753년(영조 29) 소령원(昭寧園)으로 봉해졌다.<묘소도형여산론(墓所圖形與山論)> 은 두꺼운 종이에 먹으로 상단에 제목을 쓰고, 가운데  산도(山圖)를 그리고, 하단에는 산론(山論)을 적었다. 이 그림은 길지를 택하는 과정에서 제작된 것으로 추정되며, 1718년에 제작된 원본일 가능성이 있다.   <소령원도(昭寧園圖)>  는 산도의 형식을 취했으며 가운데 묘소와 좌측의   제청(祭廳), 우측의   비각(碑閣)을 배열하고 아래쪽에는 전답이 그려져 있다. 산수 표현에서 가늘고 기다란 피마준(披麻皴)이   미점(米點)과 더불어 사용되었으며, 화면 곳곳에 밝은 담채를 가하였다.      <소령원화소정계도(昭寧園火巢定界圖)>   는 능원에 산불이 번지는 것을 방지하기 위하여 일정한 거리까지 초목을 불살라 제거하는    화소(火巢)를 표시한 것이다. 붉은 주선으로 화소의 경계를 나타내고 있다. 전체적으로 산도의 형식을 취하고 있으며 거칠고 빠른 필치의 피마준으로 산수 표현을 하였다.         <소령원배치도(昭寧園配置圖)>    는 백묘로 소령원의 석물 배열을 나타낸 그림이다. 봉분 주변의 담장과 비석, 혼유석, 상석, 장명등, 망주석, 문인석 등을 실재 위치에 맞추어 그렸다. 아래 세 점의 그림은 소령원 승격이후에 그려진 것으로 18세기 후반경의 작품으로 추정된다.        이 네 종의 그림은 잘 도침된 닥종이에 그려진 회화식 지도로써 의궤와 더불어 왕실 원묘와 관련된 중요한 시각자료로 가치가 높다.   ",Oriental ink painting
7,"선덕사 대적광전은 이처럼 축조시기가 짧지만, 제주도내 사찰 금당 중에서는 유일하게 중층 목조로 축조되어 있는 등 사찰 건축물의 연구 자료로서의 학술적 가치가 높아 향토문화 보존에 필요하다고 인정되어 문화재자료로 지정하였다. 선덕사 대적광전은 1987년에 시작하여 1993년에 완공되었다.","대적광전은 주불을 법신인 비로자나불毘盧遮那佛을 모신 금당을 말한다. 선덕사 대적광전은 1987년에 시작하여 1993년에 완공되었다. 중층 목조건물로서, 하층은 정면 5칸, 측면 4칸, 상층은 정면 3칸, 측면 2칸으로서 면적 197.48㎡이다. 공포栱包는 다포식多包式이며 하층은 외3출목出目 내6출목, 상층은 외3출목 내7출목이다. 가구架構는 이고주칠량가二高柱 七樑架이고 천장은 우물(井)반자 천장이며 바닥은 상하층 통층通層으로 우물마루(井抹樓)이다. 지붕은 중첨으로 팔작지붕이다. 공포의 세부적인 특성은 쇠서(牛舌) 받침을 초화형草花刑으로 하였는데, 이러한 장식적 수법은 조선조 후기로 내려올수록 그 경향이 뚜렷한 것이 특징이다. 주불은 비로자나불이며 좌우에는 아미타불과 석가모니불을 모셨다.  선덕사가 있는 선돌에서는 오래 전부터 수행납자들이 수행하였다. 1870년대 쌍월(雙月)선사와 응월(應月)화상이 수행하셨던 곳으로서, 현대에 와서는 고승 고암(古岩)대종사에 의하여 1982년부터 조근호의 설판으로 중창불사가 이뤄졌다. 선덕사 대적광전은 이처럼 축조시기가 짧지만, 제주도내 사찰 금당 중에서는 유일하게 중층 목조로 축조되어 있는 등 사찰 건축물의 연구 자료로서의 학술적 가치가 높아 향토문화 보존에 필요하다고 인정되어 문화재자료로 지정하였다.",Oriental ink painting
8,"신두리 해안사구는 태안반도 서북부의 바닷가를 따라 형성된 길이 약 3.4㎞, 폭 약 0.5∼1.3㎞의 모래언덕으로 내륙과 해안의 완충공간 역할을 하며 바람자국 등 사막지역에서 볼 수 있는 경관이 나타나는 곳이다. 신두리 해안사구는 전사구, 사구습지, 초승달 모양의 사구인 바르한 등 다양한 지형들이 잘 발달되어 있다.","해안사구는 해류에 의하여 사빈으로 운반된 모래가 파랑에 의하여 밀려 올려지고, 그곳에서 탁월풍의 작용을 받은 모래가 낮은 구릉 모양으로 쌓여서 형성되는 지형을 말한다.신두리 해안사구는 태안반도 서북부의 바닷가를 따라 형성된 길이 약 3.4㎞, 폭 약 0.5∼1.3㎞의 모래언덕으로 내륙과 해안의 완충공간 역할을 하며 바람자국 등 사막지역에서 볼 수 있는 경관이 나타나는 곳이다.신두리 해안사구는 신두리 해안 만입부의 사빈 배후를 따라 분포하고 겨울철에 우세한 북서풍의 영향을 받는 위치에 있으며, 인접해역이 대체로 모래로 구성되어 있어 간조시 노출된 넓은 모래갯벌과 해빈의 모래가 바람에의하여 해빈에서 육지로 이동되어 사구가 형성되기에 좋은 조건을 가진 지역이다. 신두리 해안사구는 전사구, 사구습지, 초승달 모양의 사구인 바르한 등 다양한 지형들이 잘 발달되어 있다.해안사구에는 해당화 군락, 모래 언덕의 바람 자국 등 사막 지역이 아니고서는 볼 수 없는 독특한 경관과 조류의 산란 장소로 생태적 가치와 경관적 가치가 뛰어난 해안의 퇴적지형으로 특징지을 수 있으며 우리나라 최대 규모의 해안사구로서 사구의 원형이 잘 보존되어 있고, 사구의 형성과 고환경을 밝히는데 학술적 가치가 크다.",Oriental ink painting
9,"이 재사는 우곡(愚谷)선생의 높은 덕을 기리기 위하여 증손 송영(宋穎)이 숙종대에 건립한 건물로 추정된다. 우곡(愚谷) 송량(宋亮, 1534～1618)선생은 유교를 실천 궁행한 대표적 선비 중의 한 분이다.","이 재사는 우곡(愚谷)선생의 높은 덕을 기리기 위하여 증손 송영(宋穎)이 숙종대에 건립한 건물로 추정된다. 17세기 후기의 건물로서는 가운데 설주, 연귀마춤 등의 치목수법(治木手法)이 건립 연대와 부합되는 수작으로 평가된다.우곡(愚谷) 송량(宋亮, 1534～1618)선생은 유교를 실천 궁행한 대표적 선비 중의 한 분이다. 스스로 효행을 다한 선비로, 그가 사는 마을 소곡(所谷)을 효곡(孝谷)이라 부르게 된 것은 선조 17년 이후부터라 한다.임진 왜란 때는 창의하여 전공을 세웠으며, 아들 이회(以誨)와 이필(以弼)이 양친을 구하려다가 죽고, 딸 노경건(盧景健)의 처와 정이괄(鄭而适)의 처도 수절하여 한 가정에 다섯 분의 충효 열인이 탄생하였다. 특히, 우곡 선생은 향풍쇄신과 흥학육영에 앞장서 낙사계(洛社契)조직에 큰 몫을 하였는데, 병인년(1566년) 낙사계와 무인년(1578년) 낙사계(조약 서문은 우곡이 씀)를 1599년(己亥年) 합사(合社)하여 명실공히 상산의 대계(大契)로 발전시키는데 주역이었다. 또한, 존현육영의 미덕을 높이려 도남서원을 창설(1606년)할 때도 중추적 역할을 하신 인물 중의 한 분이었다. 한마디로 선생은 유교의 이념을 몸소 행한 분으로 효충의 표본이라 일컬을 만하다.",Oriental ink painting
