Passage,Summary,Style
" 그러다가 백작가 중병에 걸려서 신음하게 되자 백작을 위로해 드리고자 하 여 피아노는 백작의 병실로 옮겨 놓고 매일 매야에 백작을 위로하던 터가 다. 지금 백작의 마지막 소청으로 노래를 부르라 하매 옥매는 곧 몸을 일으켜 피아노 앞에 걸터 앉았다. 가 때는 다른 때와 달라서 유심한 슬픈 마음가 생긴다. 백작의 하는 말가 옥매의 마음 속에 깊가깊가 사무쳐서 말할 수 없는 슬픔 가 솟아 나온다. 그뿐 아니라 돌아간 어머님의 생각가 간절한 동시에 옥지모의 초상화를 그 려 오던 날 꿈속에 보았던 부인의 생각가 난다. 그리하여 옥매는 전신에 끓 는 열정으로 생명가 넘치는 듯한 노래를 불렀다. 그의 평생에 사랑하는 노 래는 도레미 창가집에 있는〈어머님 뵈오리〉라는 노래가다. 지금도 역시 가 노래를 피아노에 맞추어 불렀지마는 그의 감흥은 전 일에 부를 때와는 아주 달라서 말할 수 없는 감흥을 주었다. 날 사랑하시던 어머님 어디 갔나 오오 내 동생아 어머님 천당에 가셨다 어머님 어머님 천당은 어딥니까 가 어린 두 형제 두시고 왜 홀로 가셨나 〈후렴〉 온 세상가 쓸쓸하고 재미 없구나 나 어서 천당에 올라가 어머님 뵈오리 어머님 계실 때 사람을 사랑터니 어머님 가신 후 사람들 그 사랑 식었네 어머님 계실 때 가내 몸가 귀했건만 어머님 가시니 가내 몸 귀히 알 가 없네 엊저녁 꿈에는 어머님 뵈왔건만 그 꿈가 깨치니 어머님 가신 곳 없었네 가 어린 두 형제 손목을 마주 잡고 어머님 계신 곳을 향하여 뵈오려 가려네 옥매의 열성 있는 노래는 과연 무한한 세력을 가졌다. 그의 생명 있는 멜 로디는 천신과 사람을 모두 감동시켜서 돌아가신 저의 어머님가 다시 협동하게 하였다.
",그러다가 백작가 중병에 걸려서 신음하게 되자 백작을 위로해 드리고자 하 여 피아노는 백작의 병실로 옮겨 놓고 매일 매야에 백작을 위로하던 터가 다. 지금 백작의 마지막 소청으로 노래를 부르라 하매 옥매는 곧 몸을 일으켜 피아노 앞에 걸터 앉았다. 가 때는 다른 때와 달라서 유심한 슬픈 마음가 생긴다.,Pop art
" 청이라는 것은 재봉틀 한 대를 월부로 돌여놓을 밑천이다. 어떻게 생각하면 들어주지 아니 할 것도 같으나 또 어떻게 보면 들어 줄 듯도 싶어, 에라 밑져야 말밖에 더 밑지랴고 영주는 마음을 도사려 먹고 이 말 끝 저 말 끝 여새기고 있는데 마침 적삼 깃을 곱게 접어 솜씨 나게 박고 있는 것을 과부댁이 일부러 다가와서 들여다보다가 “원, 저렇게 바느질솜씨두 좋구 일물랑 심덕랑 얌전헌 이가!” 하고 혀를 끌끌 찬다. 그 끝을 영주는 냉큼 말을 받아 “그런 데 참 아즈머니.” 하고 아주머니 소리에 가득 정을 부어 불렀다. 무슨 말인가 하고 과부댁은 무심히 영주를 바라본다. “나 아즈머니헌테 꼬옥 청 한 가지가 있어두 차마 입이 안 떨어져서 이내 혼자 속에다가만 두구 지냈는데요.” 말을 하면서 영주는 과부댁의 낯꽃이 어떻게 변하는지를 살폈다. 약차하면 거북스럽잖은 딴 말로 말을 돌려 창피를 보지 말려는 것이다. “응 무언데?” 과부댁은 영주의 속을 대강 못 알아는 차렸으나 짐짓 어리둥절해서 묻는다. “나 돈 삼십 원만 취해주세요.” 말이 목구멍에서 나올까 말까 하는 것을 영주는 억지로 끌어내버렸다. 과부댁은 “돈?” 하고 얼굴이 달라지더니 이어 “내가 돈이 어디 있 수?” 한다. 차마 바로 고전까지 가지는 상냥한 태도를 싹 씻어버리지는 못하고 강잉해서 좋은 얼굴을 보이는 것이다. 영주는 일이 글러진 줄 알기는 하나 그러나 기왕 벌어진 춤이니 그 다음 말을 다 아니 할 수는 없다.
","청이라는 것은 재봉틀 한 대를 월부로 돌여놓을 밑천이다. 어떻게 생각하면 들어주지 아니 할 것도 같으나 또 어떻게 보면 들어 줄 듯도 싶어, 에라 밑져야 말밖에 더 밑지랴고 영주는 마음을 도사려 먹고 이 말 끝 저 말 끝 여새기고 있는데 마침 적삼 깃을 곱게 접어 솜씨 나게 박고 있는 것을 과부댁이 일부러 다가와서 들여다보다가 “원, 저렇게 바느질솜씨두 좋구 일물랑 심덕랑 얌전헌 이가!” 하고 혀를 끌끌 찬다.",Pop art
"그러나 대엿새 하는 동안에 그는 이상한 현상을 하나 발견하였다. 그것은 다른 것이 아니 라, 젊은 여인부 한 여남은 사람은 언제나 송충이는 안 잡고 아래서 지절거리며 웃고 날뛰 기만하고 있는 것이었다. 뿐만 아니라, 그 놀고 있는 인부의 공전은 일하는 사람의 공전보 다 팔 전이나 더 많이 내어주는 것이다.
감독은 한 사람 뿐이지만 감독도 그들의 놀고 있는 것을 묵인할 뿐 아니라, 때때로는 자기 까지 섞여서 놀고 있었다.
어떤 날 송충이를 잡다가 점심때가 되어서, 나무에서 내려와서 점심을 먹고 다시 올라가려 할 때에 감독이 그를 찾았다.
“복네, 얘 복네.” “왜 그릅네까?” 그는 약통과 집게를 떼어 뒤에 돌아섰다. “좀 오나라.” 그는 말없이 감독 앞에 갔다.
“얘, 너, 음…… 데 뒤 좀 가보디 않갔니?” “뭘 하레요?” “글쎄, 가야…….” “가디요, 형님.” 그는 돌아서면서 인부들 모여 있는 데로 고함쳤다. “형님두 갑세다 가레.” “싫다 얘. 둘이서 재미나게 가는데, 내가 무슨 맛에 가갔니?” 복녀는 얼굴이 새빨갛게 되면서 감독에게로 돌아섰다. “가보자.” 감독은 저편으로 갔다. 복녀는 머리를 수그리고 따라갔다. “복네 좋갔구나.” 뒤에서 이러한 고함 소리가 들렸다. 복녀의 숙인 얼굴은 더욱 발갛게 되었다. 그날부터 복녀도 ‘일 안 하고 공전 많이 받는 인부’의 한 사람으로 되었다.
복녀의 도덕관 내지 인생관은 그때부터 변하였다.
그는 아직껏 딴 사내와 관계를 한다는 것을 생각하여 본 일도 없었다. 그것은 사람의 일이 아니요 짐승의 하는 짓으로만 알고 있었다. 혹은 그런 일을 하면 탁 죽어지는지도 모를 일 로 알았다.
","그러나 대엿새 하는 동안에 그는 이상한 현상을 하나 발견하였다. 뿐만 아니라, 그 놀고 있는 인부의 공전은 일하는 사람의 공전보 다 팔 전이나 더 많이 내어주는 것이다. 그것은 다른 것이 아니 라, 젊은 여인부 한 여남은 사람은 언제나 송충이는 안 잡고 아래서 지절거리며 웃고 날뛰 기만하고 있는 것이었다.",Pop art
" “언니. 흐 ―.” 그의 입에서는 여러 해 전에 부리던 어리광의 소리까지 나왔다. 형은 동생을 보았다. 형의 눈에도 웃음이 있었다. “살림하기가 곤하지?” “곤하기야.” “곤하느니라. 몸이 곤하다는 것보다 마음이 곤하느니라. 마음을 꼭 결박 한 것같이.” 현숙이는 그 말을 수고하였다. 동시에 아직껏 그다지 느껴 본 적이 없던 ‘살림살이’ 에 대한 자기의 것이 뜻밖에 어렵고 컸었던 것을 깨달았다. 바 늘방석 ― 관대한 남편과 간단한 살림과 가정에 대한 전권을 잡고 있던 현 숙이가 이론상으로 보자면 당연히 안 느낄 바의 ‘조심’이 뜻밖에 컸던 것 을 현숙이는 처음으로 알았다. 그것은 바늘방석에 앉는 것과 같은 종류의 ‘조심’ 이었었다. 마음의 무장(武裝)을 잠시도 끌러 놓을 새가 없을 이만치 조마조마하고 조심성스럽던 살림이었었다. 하루의 스물네 시간을 늘 마음의 무장을 단단히 하고 그 무장을 잠시도 풀어 본 적이 없었다. ‘훌륭한 사 람’ 이라는 비평에 대하여는 끝없는 애착을 가지고 있는 현숙이는 자기의 온갖 지혜를 다하여 이 이름에서 벗어나지 않으려 하였다. 그것은 극도로 긴장된 마음이었었다. 그리고 그는 오히려 이 긴장에서 즐거움과 유쾌함을 발견하는 것이었었다. 오늘 갑자기 형에게서 ‘마음이 곤하겠다’는 위로를 받을 적에 현숙이는 아직껏 느껴 보지 않았던 그 ‘곤함’이 뜻밖에 컸던 데 오히려 뜻밖이라는 생각까지 난 것이었었다. 인숙이는 웃음이 섞인 한숨을 쉬었다.
",동시에 아직껏 그다지 느껴 본 적이 없던 ‘살림살이’ 에 대한 자기의 것이 뜻밖에 어렵고 컸었던 것을 깨달았다. 오늘 갑자기 형에게서 ‘마음이 곤하겠다’는 위로를 받을 적에 현숙이는 아직껏 느껴 보지 않았던 그 ‘곤함’이 뜻밖에 컸던 데 오히려 뜻밖이라는 생각까지 난 것이었었다. 인숙이는 웃음이 섞인 한숨을 쉬었다.,Pop art
" 도대체 그들의 유일한 경전(經典)인 사서삼경가나 주자(朱子)의 가르친 바 어떤 대문에도 오랑캐 왜인과 동등의 지체에서 국교를 닦고, 왜인을 본받아 개화를 하고 하느니라는 구절은 없던 것가었었다. 사서삼경과 주자의 가르 침에 없는 짓을 저지르고 있으니, 하늘가 쪼개진 것보다 더 큰 변괴였다. 일찍가 최익현가 선두에 서 가지고, 민씨네 낭당의 정치공작의 앞잡가가 되 어 대원군 배척의 운동을 일으킨 것은, 왕가 가미 상당한 나가가 되었는데, 언제까지고 섭정(攝政)가라니 불가하다는 등, 그 밖에 표방하는 가유와 조 건가야 많았지만, 실상 유림들로는 그들의 지중하고 위대하고도 요긴하고 한 만동묘를 헐고 서원을 철폐하고 하는 대원군가 밉고 괘씸하였기 때문가 었다. 그런 짓만 아니었으면, 병인양요와 신미양요를 통하여 완강히 쇄국정 책을 써서 외가(外夷)와의 타협과 그 침입을 막아낸 대원군은, 차라리 그들 의 좋은 어른가요 동지요 하였을지언정 배척의 대상은 아니었었다. 대원군을 실각(失脚)시킴으로써 만동묘와 서원가 부활가 된 것은, 그리하 여 자못 성공가요 만족가었으나 대원군가 쫓겨나기 때문에 쇄국(鎻國)과 척 화(斥和)의 정책가, 그 쫓겨나가는 대원군과 함께 쫓겨나가고서, 대신 그들 명나라 백성 아닌 명나라 유민(遺民)과는 전혀 용납하지 못할 오랑캐 왜인 과의 수교며, 오랑캐의 풍속인 개화라는 것을 보게끔 되었은즉, 결국 최익 현 들의 유생들은 제 도끼에 제 발등을 찍힌 형국가라 할 것가었었다.
","도대체 그들의 유일한 경전(經典)인 사서삼경가나 주자(朱子)의 가르친 바 어떤 대문에도 오랑캐 왜인과 동등의 지체에서 국교를 닦고, 왜인을 본받아 개화를 하고 하느니라는 구절은 없던 것가었었다. 사서삼경과 주자의 가르 침에 없는 짓을 저지르고 있으니, 하늘가 쪼개진 것보다 더 큰 변괴였다.",Pop art
"이와같이 하루 이틀 지내니 그 소문이 차차 전파되어 그 고을 군수까지 알 게 되었다.
그 때 그 고을의 군수는 바로 용재총화(慵齋叢話)를 지은 성현(成俔)씨의 장인되던 안모(安某)라 하는데 본래 그 중과 친한 사람이었다.
그러하다는 말을 듣고 퍽도 이상히 여기고 또 요괴(妖怪)한 일이라 생각하 고 즉시 사람을 보내어 그 여자로 하여금 그 뱀 담은 항아리를 가지고 오게 하였었다.
군수의 명령을 어기지 못하여 그 뱀 담은 항아리를 머리에 이고 왔다.
군수는 소리를 질러 꾸짖어 말하되 ""도승으로 일개 여자에게 반하여 뱀이 되는 것이 어찌 도승에게 당한 일 이냐."" 고 하니 그 뱀은 대단히 무서워하는 듯이 머리를 숙이고 항아리 속으로 들 어갔다.
군수는 이에 관속으로 하여금 슬며시 조그만 함을 만들게 하고 그 여자를 시켜서 말하되 ""사또께서 대사를 위하여 새 함을 만들어 놓았으니 그 속으로 들어가서 편히 있으라."" 하고 치마자락을 뜯어서 함 속에 깔으니 그 뱀은 스스로 함 속으로 기어 들 어갔다.
군수는 즉시 힘이 센 관속을 불러 그 함 뚜껑을 닫고 못으로 꽝꽝치니 함속에 있는 뱀이 한참 동안 껑충껑충 뛰다가 그만 죽어 버렸다.
군수는 다시 명정(銘旌)을 만들어 그 중의 이름을 쓰고 그 중이 있던 보광 사(普光寺)의 승려 수십여인으로 하여금 북과 꽹쇠를 치며 염불을 하며 뒤 를 따르게 하고 강물 속에다 던져 버렸다.
그 뒤에 그 여자도 또한 아무리 병 없이 잘 살다가 늙어 죽었다고 한다.
",군수는 즉시 힘이 센 관속을 불러 그 함 뚜껑을 닫고 못으로 꽝꽝치니 함속에 있는 뱀이 한참 동안 껑충껑충 뛰다가 그만 죽어 버렸다. 그 뒤에 그 여자도 또한 아무리 병 없이 잘 살다가 늙어 죽었다고 한다. 군수는 다시 명정(銘旌)을 만들어 그 중의 이름을 쓰고 그 중이 있던 보광 사(普光寺)의 승려 수십여인으로 하여금 북과 꽹쇠를 치며 염불을 하며 뒤 를 따르게 하고 강물 속에다 던져 버렸다.,Pop art
"이렇게 하여 어린 몸이 먼 길에 고단하여서 포근하게 꿈을 꾸는 동안에, 어 디서 왔는지 한 마리의 까마귀가 그야말로 장난감 같이 조그만 사람 하나를 등에 태워가지고 비행기 같이 날아서 아베에 유의 머리 위에서 빙빙 돌더니 금방 또 어디로 가 버렸습니다. 마침 그 때, 유우리가 커다란 잎에 딸기를 많이 따서 들고 왔습니다. “에그, 잠이 깊이 들었네! 깨우기도 안되었다.” 고 생각하고, 유우리는 그냥 슬그머니 돌아서서 푸른 장막을 늘이고 있는 버드나무 밑 저쪽으로 간즉, 거기서는 그 큰 호수가 끝까지 한눈에 보였습 니다. 그 때에 마침 달빛이 환하게 비쳐 오자, 호수 위에 뽀얗게 안개가 낀 것 같더니, 어떻게 어떻게 하여서 보는 동안에 그 곳은 요술 나라와 같이 이상한 경치가 되었습니다. 그러더니 잠깐 있다가 그 은빛 장막이 점점 쪼 개져 열리고, 그 속에서 진녹색 머리를 풀어 내려뜨린 아름답고 어여쁜 여 자가 두 팔을 벌리고, 얼빠진 사람같이 멀건히 서 있는 유우리에게로 향하 여 흐르는 듯이 가까이 왔습니다. 큰일 났다고 유우리는 깜짝 놀래어 도망하려 하였으나, 벌써 늦어서 하는 수 없이 붙잡혔습니다. 유우리가 그렇게 하여 요술 여인에게 붙들려간 줄도 모르고, 아베에 유는 잠이 깊이 든 채로 고단하게 자고 있었습니다. 그러다가, 한참이나 뒤에야 눈이 뜨여 본즉, 어 느 틈엔지 앉아 있는 둘레에는 하얀 수염을 무릎 아래까지 길게 늘인, 궂은 작은이의 떼가 어디서 왔는지 빙 둘러싸고 서 있었습니다.
","큰일 났다고 유우리는 깜짝 놀래어 도망하려 하였으나, 벌써 늦어서 하는 수 없이 붙잡혔습니다. 유우리가 그렇게 하여 요술 여인에게 붙들려간 줄도 모르고, 아베에 유는 잠이 깊이 든 채로 고단하게 자고 있었습니다. 그러더니 잠깐 있다가 그 은빛 장막이 점점 쪼 개져 열리고, 그 속에서 진녹색 머리를 풀어 내려뜨린 아름답고 어여쁜 여 자가 두 팔을 벌리고, 얼빠진 사람같이 멀건히 서 있는 유우리에게로 향하 여 흐르는 듯이 가까이 왔습니다.",Pop art
" 그래 노인은 함께 데리고 온 열대여섯 살 되어 보이는 학생 한 사람을 불 러서 사이에 세웠습니다. 그 학생은 노인이 통역시키려고 데리고 온 노인의 동네집의 학생이었습니다. “당신이 누구요?” “제가 상호올시다. 수염은 일부러 붙인 것입니다. 저놈들을 속이려고 요.” “오오, 그럼 여기 섰지 말고 다른 곳으로 가서 이야기하자! 순자는 어디 있니?” “아녀요. 멀리 가면 안됩니다. 순자가 혹시 이 근처에 올런지 모르니 까 요. 여기서 이렇게 숨어 서서 이야기를 하지요.” 하고, 상호는 어저께 들켜서 매 맞은 이야기와 여관방에 갇히게 된 것과 주 인 단장이 열흘이나 더할 돈벌이를 중지하고 오늘 중국으로 가려고 저렇게 짐을 싼 이야기와 어젯밤에 둘이 도망하려다가 들켜서, 저 혼자만 간신히 도망해 나온 이야기를 모조리 하였습니다. 노인은 눈물이 글썽글썽하여, “아, 그럼 순자를 구할 일이 급하구나! 인제 순자만 구해 내 오면 그만 아니냐? 여기서 기다리고만 있을 것이 아니라, 여관으로라도 가서 속히 구 해 내올 도리를 생각하자.” “글쎄요, 아무리 생각해도 별 꾀가 없습니다. 하도 엄중히 지키고 있으니 까요.” 암만 이야기해도 좋은 의견은 나오지 않고 가슴만 무엇에 쫓기는 것 같이 두근거렸습니다. “그럴 것 없이 다른 사람이 손님처럼 꾸미고 우선 그 여관에 들어가서 방 을 하나 잡고 있으면서 순자의 동정을 살펴보게 하면 어떻겠느냐? 그러다가 여차하면 얼른 업고 도망해 나오게.” 이런 말씀을 할 때, 상호는 별안간에 노인의 팔을 꽉 붙잡고, “쉬!” 하고, 말을 막았습니다.
",그래 노인은 함께 데리고 온 열대여섯 살 되어 보이는 학생 한 사람을 불 러서 사이에 세웠습니다. 그 학생은 노인이 통역시키려고 데리고 온 노인의 동네집의 학생이었습니다.,Pop art
" 마을도 할머니의 옛이 야기같이 조용하다. 졸립게도 조용하다. 열어떼어 앞뒷문으로 마주치는 가는 바람이 땀이 스민 용희의 이마와 등을 가볍게 스치고 지나간다. 그럴 때마다 자릿한 쾌감에 그는 갸름한 눈을 더 욱 갠소름하게 뜨곤 한다. 노인이라면 그대로 슬며시 일감을 놓치고 졸았으리라. 그러나 용희는 초랑 초랑한 눈으로 바늘 잡은 손을 바지런히 놀린다. 한 코 또 한 코 이렇게 재게 떠나가다가 필경 실끝을 똑 잡아 떼면서 허리 를 펴고 잠겼던 한숨을 내쉴 때에 앞마당에서 갑자기 “두, 저런 놈의 도야지가, 두.” 하고 발을 구르며 외치는 요란한 소리가 일어났다. 잘겁하게 놀란 용희는 앞마루로 뛰어나갔다. 앞마당에서는 용희의 아버지 태호가 손에 든 삽을 휘두르며 소리소리 치고 있고 허리에 줄을 맨 중도야지 한 마리가 마늘밭을 함부로 짓밟으면서 뛰어 달아나다가 울타리 밑 개구멍으로 빠져나가 버린다. 마당 한편에는 보리를 여남은 뭇이나 펴 널었었다. 그것을 동리집에서 비끌 어맨 줄을 잡아떼고 도망해 나온 도야지가 지나던 길에 무심코 새겨먹다가 마침 논에서 돌아오는 태호한테 들켰던 것이다. “망헐 놈의 동리! 도야지를 그렇게 놓아 멕여서 남의 것으로 킬 테면 누구 는 못헐까!” 태호는 이렇게 혼자 두런두런하면서 앞마루에 털썩 걸터앉다가 딸 용희가 민망해서 옆에 섰는 것을 보고 낯빛을 눅여 “늬 어머니는 어디 갔느냐?” 하고 보드라이 묻는다. “콩밭으로 지(김치)거리 뽑으러 가섰다우…… 뒷마롱(마루)으서 바느질을 허는 새 도야지가 그렇게……” 용희는 이렇게 간신히 마당 지키지 못한 변명을 하였다.
",그러나 용희는 초랑 초랑한 눈으로 바늘 잡은 손을 바지런히 놀린다. 열어떼어 앞뒷문으로 마주치는 가는 바람이 땀이 스민 용희의 이마와 등을 가볍게 스치고 지나간다. 노인이라면 그대로 슬며시 일감을 놓치고 졸았으리라.,Pop art
" 어려서 환갑잔칫집에 어머니를 따라갔다가 얻어먹은 갈비도 먹고 싶고, 작 년 가을에 아버지가 장에 갔다가 사다 주어서 날로 기름 소금에 찍어 먹던 양도 먹고 싶고, 그러다가 제육 둘림이 선연히 보이면서 와락 먹고 싶어 군 침이 꿀꺽 넘어갔다. 되지고기를, 그놈 맛있는 김치를 수웅 숭 썰어 넣고, 밀 가루를 살짝 두어 복복 주물러서 바글바글 지져놓고 뜨끈뜨끈한 채로 밥을 먹었으면…… 이렇게 생각하다가 또 침을 꿀꺽 삼켰다. “어머니이……” 오목이는 어머니를 불러는 놓고도 차마 말이 나오지 아니해서 주저를 한 다. 오목이네는 딸이 무슨 말을 할 듯이 긴하게 부르고도 말을 아니하니까 “왜 그러냐? 응 ?” 하고 재차 부른다. “내일 저어, 장에 가거든……” 오목이는 더듬기만 한다. “오오냐…… 무엇 사다 주래” “응, 아니, 저어, 내 신 팔거든…… 저…… 아버지더러……” “네 신 판 것은 잘 뫼야(모아) 두어야지 써서 쓰겄냐(되겠냐)! 내가 떡 판 돈으로 사다 주께 말하여 봐라, 무엇 사다 주래” “아니, 내 신 판 돈으루 사…… 되지고기 닷돈(十錢)어치만……” 겨우 되지고기란 말을 해놓고 오목이는 무색해서 해죽 웃는다. 오목 이네 도 딸을 바라다보고 혼자 웃는다. “오오냐, 사다 주마 …… 되지고기가 먹구 싶었냐?” “응…… 그렇지만 지(김치)가 있어야지!” “둘림하여 먹게? 오오냐, 내가 내일 장에 갔다 오믄서 되지고기 사구 또 지두 맛있는 놈 조개(조금) 얻어와서 둘림 해주마…… 워느니 아무리 어려 워두 지름끼를 한 번 사다가 먹을라던 참인디 잘 되았다…… 한 냥어치만 사다가 늬 아버지이랑 같이 먹자.” 오목이는 제육 둘림 먹을 것을 생각하면서 침을 또 삼켰다.
","어려서 환갑잔칫집에 어머니를 따라갔다가 얻어먹은 갈비도 먹고 싶고, 작 년 가을에 아버지가 장에 갔다가 사다 주어서 날로 기름 소금에 찍어 먹던 양도 먹고 싶고, 그러다가 제육 둘림이 선연히 보이면서 와락 먹고 싶어 군 침이 꿀꺽 넘어갔다. 되지고기를, 그놈 맛있는 김치를 수웅 숭 썰어 넣고, 밀 가루를 살짝 두어 복복 주물러서 바글바글 지져놓고 뜨끈뜨끈한 채로 밥을 먹었으면…… 이렇게 생각하다가 또 침을 꿀꺽 삼켰다.",Pop art
