,Summary,Passage,Style
0,"출근시간이면 광화문역에서 쏟아져 나오는 넥타이 부대, 점심시간이면 커피를 손에 들고 걸어 다니는 스커트 부대는 광화문의 익숙한 풍경.","수많은 빌딩, 다양한 업종의 오피스가 밀집되어 있는 광화문 일대. 이곳의 하루 유동인구는 7만 명이 훌쩍 넘습니다. 오가는 이들의 대부분은 말끔한 정장 차림에 사원증을 걸고 다니는 직장인들. 광화문은 샐러리맨들을 쉽게 만날 수 있는 ‘직장인 1번지’다. 출근시간이면 광화문역에서 쏟아져 나오는 넥타이 부대, 점심시간이면 커피를 손에 들고 걸어 다니는 스커트 부대는 광화문의 익숙한 풍경. 일요일 밤이 되면 괴로워지기 시작하고, 번번이 칼퇴근을 꿈꾸는 직장인들. 그들에게 회사와 일은 어떤 의미일까. 직장인 1번지, 광화문 네거리에서 만난 이 시대 직장인들과 함께 한 3일입니다.",Painterly art
1,게다가 ‘공룡’이 등장하고 3D랍니다. 내달 19일 개봉예정인 ‘다이노소어 어드벤처 3D’ ( Walking with Dinosaurs 3D)입니다. 벌써 구미당기는 영화 아닌가.,"벌써부터 극장가는 12월을 준비 중입니다. 겨울방학에는 어린이관객을 노린(?), 아니면 가족단위 관람객을 위한 영화가 제격입니다. 게다가 ‘공룡’이 등장하고 3D랍니다. 벌써 구미당기는 영화 아닌가. 내달 19일 개봉예정인 ‘다이노소어 어드벤처 3D’ ( Walking with Dinosaurs 3D)입니다. 13년 전 디즈니에서 나온 공룡 애니메이션 ‘다이너소어’와는 글자 하나 가 다를 뿐이지만 그동안의 혁혁한 공룡연구 성과와 3D기술의 진화로 훨씬 실감나는 공룡을 만나게 됩니다.
다이노소어 어드벤처3D’는 1999년 BBC에서 만든 6부작 걸작 공룡 다큐멘터리 ‘워킹 위드 다이노소어’를 바탕으로 하고 있습니다. 콘텐츠를 중시하는 BBC답게 TV다큐멘터리를 바탕으로 극장용 애니메이션을 만든 것입니다. 물론 압축/재편집이 아닙니다. 완전히 새로운 프로덕션이 이루어졌습니다. BBC의 자회사 격인 BBC어스, 에버그린 프로덕션, 애니멀 로직이 힘을 합쳐 3D로 진화시킨 것입니다. 제작비만 무려 8500만 달러.",Painterly art
2,2011년 03월 11일 동일본대지진으로 인해 후쿠시마 원자력발전소가 폭발했습니다. 재난사고 처리와 대처에 평정심을 잃지 않았던 일본 시민들이 변하고 있습니다. 사상 최대의 인원인 10만 명이 매주 도쿄 시내로 나와 탈핵 시위를 벌이고 있는 것이 그 예다.,"2011년 03월 11일 동일본대지진으로 인해 후쿠시마 원자력발전소가 폭발했습니다. 그 후. 재난사고 처리와 대처에 평정심을 잃지 않았던 일본 시민들이 변하고 있습니다. 사상 최대의 인원인 10만 명이 매주 도쿄 시내로 나와 탈핵 시위를 벌이고 있는 것이 그 예다. 사회를 바꾸고 싶은 일본인의 열망은 도서 분야에서도 나타났습니다. 일본에서 가장 영향력 있는 인문학자로 손꼽히는 오구마 에이지의 책이 2013 일본 신서대상 1위를 차지한 것입니다. 이 책은 바로 행동하는 지식인이자 게이오대 교수인 저자가 역사적, 사회구조적, 사상적으로 성찰하여 사회를 변화시키는 방법을 담은 『사회를 바꾸려면』입니다. 정치 혐오를 넘어 정치 무관심의 양상을 보이는 우리나라 역시 일본 사회와 다르지 않다. 지난 4월 ‘세월호침몰사고’로 국민은 분노했습니다. 사회 변화에 대한 요구가 들끓고 있습니다. 그러기 위해서는 행동해야 한다고 말하는 책, 『사회를 바꾸려면』을 34회에서 만나보자.",Painterly art
3,사단법인 부산독립영화협회 주최로 부산 해운대구 '영화의 전당'과 남도동 국도예술관에서 열린 올해 영화제에서는 25편의 ‘MADE IN BUSAN 경쟁부문’ 출품작이 치열한 경쟁을 펼친 가운데 최정문 감독의 ‘신탄진’이 최우수작품상의 영예를 안았습니다. 지난 20일 개막된 ‘2015 부산독립영화제’가 어제(24일) 막을 내렸습니다.,"지난 20일 개막된 ‘2015 부산독립영화제’가 어제(24일) 막을 내렸습니다. 
사단법인 부산독립영화협회 주최로 부산 해운대구 '영화의 전당'과 남도동 국도예술관에서 열린 올해 영화제에서는 25편의 ‘MADE IN BUSAN 경쟁부문’ 출품작이 치열한 경쟁을 펼친 가운데 최정문 감독의 ‘신탄진’이 최우수작품상의 영예를 안았습니다. 
‘신탄진’에 출연한 박세재, ‘나는 집으로 간다’에 출연한 팽지인 배우가 열일곱번째 프로포즈상(여자연기상)을 수상했습니다. 
아쉽게도 올해 남자연기자상은 뽑지 못했습니다.
심사위원 특별상은 김나영 감독의 ‘Running Photos’와 김수지 감독의 ‘나는 집으로 간다’ 두 편에게 주어졌습니다. 
‘Running Photos’는 장 뤽 고다르의 1962년 작 ‘비브르 사 비’의 한 장면에서 출발해, 여러 영화 속 인물들의 달리기가 이어지는 작품입니다. 
김수지 감독의 ‘나는 집으로 간다’는 가출한 고등학생 남자가 집으로 돌아가는 길에 다큐멘터리를 찍는 여자를 만난 두 사람이 산동네에서 펼치는 로드무비입니다. 
심사위원 특별상을 받은 두 작품에 각각 상금 1백만원과 상장이 수여되었습니다.
올해의 부산독립영화인상은 리사운드LAB의 이성철 기사가 수상하였습니다. 
이성철 기사는 부산독립영화협회의 초대대표였으며 부산을 대표하는 전수일 감독의 모든 작품의 동시녹음을 맡았습니다. 
부산에서 제작된 주요 작품들의 사운드를 책임져왔고 현재 개봉을 앞두고 있는 허은희 감독의 ‘앨리스 : 원더랜드에서 온 소년’도 담당했습니다.
부산-영화주먹상(부산국제영화제후원회상): 신탄진 (최정문 감독).",Painterly art
4,"그 결과, 한재 지역의 미나리는 현지에서 판매되는 양이 70%가 넘을 정도로 방문객들의 사랑을 받게 되었으며, 백화점이나 대형마트에서도 ‘없어서 못 파는’ 인기를 자랑합니다.","한재 지역이 연간 1,000톤 이상 미나리를 생산해 전국 생산량의 10%를 차지하는 대규모 미나리 생산단지가 되기까지1990년대부터 마을 농민들의 부단한 노력이 있었습니다. 작목반을 결성하고, 전국 각지로 시식행사를 돌아 소비자들에게 한재의 생미나리를 홍보하여 한재 미나리를 브랜드화 시켜왔습니다. 그 결과, 한재 지역의 미나리는 현지에서 판매되는 양이 70%가 넘을 정도로 방문객들의 사랑을 받게 되었으며, 백화점이나 대형마트에서도 ‘없어서 못 파는’ 인기를 자랑합니다. 특히 주말이면 미나리를 찾는 손님들이 넘쳐나 가게마다 미나리가 남았는지 물어봐야 할 정도로 물량이 모자르다.(TV특종 박재환).",Painterly art
5,"올해 서울독립영화제에는 모두 1,244편이 공모에 응해 역대 최다 작품수를 기록했습니다. 서울독립영화제2018이 발표한 상영작은 본선경쟁 부문 34편, 새로운 선택 부문 19편입니다.","올해 서울독립영화제에는 모두 1,244편이 공모에 응해 역대 최다 작품수를 기록했습니다. 서울독립영화제2018이 발표한 상영작은 본선경쟁 부문 34편, 새로운 선택 부문 19편입니다.
서울독립영화제2018 본선경쟁 부문 단편 예심위원들은 심사평을 통해 '명확한 문제의식을 가지고 흥미롭게 표현한 작품이 많았다'고 밝혔습니다. 특히 올해도 이어진 여성주의적 시선과 함께 실험영화의 뚜렷한 존재감을 언급하며, 독창적인 방식으로 새로운 흐름을 가능하게 하는 활발한 움직임과 동시대 독립영화의 영화적 고민을 엿볼 수 있었다고 덧붙였습니다.
본선경쟁 장편 부문에서는 조민재 감독의 <작은빛>을 포함하여 총 10편의 상영작이 공개됩니다. 문소리, 이주영 배우의 열연 뿐 아니라 독특한 연출로 제23회 부산국제영화제 4개 부문에서 수상작인 이옥섭 감독의 <메기>와 더불어 장우진 감독의 <겨울밤에>, 한가람 감독의 <아워바디> 등 올 한 해 화제를 모은 작품들이 대거 포진되어 있습니다. 또한 한 청년이 갓 입대한순간부터 제대하기까지의 시간을 뒤따라가는 박정근 감독의 <군대>, 사립대학교의 비리를 고발하는 기록물이자 한 청년의 성장담으로 기능하는 박주환 감독의 <졸업> 등 다큐멘터리 작품들 역시 시선을 끕니다.",Painterly art
6,로도스섬은 1년에 340여 일이해가 나는 곳이라 한다. 바람이 약간 쌀쌀하지만 햇볕은 좋은 날씨다.,"사람들이 11월인 이 겨울에 바다를 즐긴다.
로도스섬은 1년에 340여 일이해가 나는 곳이라 한다.
바람이 약간 쌀쌀하지만 햇볕은 좋은 날씨다.
로도스섬의 중심도시 로도스 이 시에만 4만여 명의 사람들이 살고 있다.
기원전 408년에 세워진 이 도시는아시아와 유럽을 연결하며 활발한 교역이 이루어지던 관문이었고 이 섬의 수비를 책임지던 고대 도시였다.
지금은 에게해 남부 최장 도시로 2014년에만 200만명의 관광객들이다녀갈 정도의 휴양지로도 유명하다.
온화한 지중해성 기후로 농작물도 잘 자라는 로도스는깨끗한 자연이 준 선물들로 가득하다.
해안가를 둘러싼 오래된 성곽은이곳이 기사들의 중세 도시였음을 보여준다.
오래된 가톨릭 교회와 아프로디테의 신전 자리도 있다.",Painterly art
7,그리스 경제 위기 때 어김없이 이 섬도 영향을 받았고 드미트리 씨는 아버지의 오래된 식당을 물려받았다. 만드라키안코의 최고급 레스토랑에서 일했던젊은 시절은 화려했다.,"양고기는 직접 손으로 뜯어 먹어야 제맛이란다.
한국의 어느 시골처럼정겨움이 흐르는 평화로운 오후 시간이다.
학교에서 돌아온 손녀들도 밖에서 놀고 있다.
아저씨가 신이 나서 향한 벽에는,
로저 모어 같은 유명 영화배우들과 함께 찍은젊은 시절 모습이 걸려 있다.
만드라키안코의 최고급 레스토랑에서 일했던젊은 시절은 화려했다.
그리스 경제 위기 때 어김없이 이 섬도 영향을 받았고 드미트리 씨는 아버지의 오래된 식당을 물려받았다.
이곳에도 밤마다 전통음악을 연주하고 나귀를 타고 물을 긷던 시절이 있었다.
사진은 대부분 1960년대 풍경이라 한다.
프신토스 옛 모습이 담긴 사진집을 즐겨 보는 소녀들 이곳의 역사는 자연스럽게 이어진다.
세월이 변해도 거의 그대로인이곳의 풍경이 귀하게 느껴진다.
저녁 무렵이 되니 식당 바로 옆의 성당에서 예배가 열렸다.",Painterly art
8,그리스정교는 곧그리스의 정체성을 상징한다 할 정도로 신앙은 그리스인들의 정신을 지탱하는 기본적인 힘이라한다. 그리스인들의 97%가 그리스정교를 믿는다.,"그리스인들의 97%가 그리스정교를 믿는다.
그리스정교는 곧그리스의 정체성을 상징한다 할 정도로 신앙은 그리스인들의 정신을 지탱하는 기본적인 힘이라한다.
예배가 끝날 무렵 축복받은 빵을 모두에게 하나씩 나누어준다.
그리스에는 할머니의 이름을 손녀에게 물려주는 풍습이 있다고 해서 물어봤다.
이름이 같아 더 친해 보이는 할머니와 손녀 그리스인들은 자신들의 작은 전통을 소중히 하는 지혜를 가졌다.
새벽 007시 콜로나 항구 나는 로도스섬의 근교 섬으로 떠나보기로 했다.
이 항구는 에게해의 도리카니소스 군도와터키로 가는 배들이 오는 곳이다.
로도스에서 배로 001시간 걸리는 코스섬으로 향한다.
신화에서 코스섬은 헤라클레스가 들러양치기 안타고라스와 결투를 했던 곳이다.",Painterly art
9,초등학교 하교시간에 보호자들이어린이를 데리러 나온 것이다. 엄마들이 아이를 전기 오토바이에 싣고하나둘씩 떠나고 있다.,"초등학교 하교시간에 보호자들이어린이를 데리러 나온 것이다.
엄마들이 아이를 전기 오토바이에 싣고하나둘씩 떠나고 있다.
이라는 이런 모습은 내 눈에만 신기해 보였지 이곳 중국에서는 아주 익숙한 풍경이라고 한다.
대부분 가정에서 어린이는 부모,할아버지 할머니, 외할머니 외할아버지에게 대를 이을 유일한 존재다.
안전문제 때문에 부모들은 금이야 옥이야하며 언제나 마음을 놓지 못한다.
유람선을 타기로 한다.
6세기 말 수나라 때 쑤저우의 대운하가 개통됐다.
이후 쑤저우는 시내 운하만을 중심으로 강남의 무역, 행정의 중심지가 됐다.
겨울철 비수기여서인지 유람선을 타는 손님이 별로 없다.
5명 이상이어야 배를 띄운다는데 5 명이 모이기를 기다릴 수가 없었다.
우리 일행은 둘이지만3명 요금을 내기로 하고 배에 올랐다.",Painterly art
